lap,t,lap_time,collisions
1,19.23,22.196,0
2,29.39,10.077,0
3,39.34,10.020,0
4,49.43,10.113,0
5,59.66,10.238,0
6,69.87,10.149,0
7,82.88,13.051,1
8,92.88,9.986,1
9,103.06,10.108,1
10,113.19,10.134,1
11,123.50,10.375,1
12,133.68,10.134,1
13,143.88,10.215,1
14,153.80,9.995,1
15,163.90,10.007,1
16,174.09,10.222,2
end,176.27,,2
