# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m
28.58791,-2.58331,4.26986,1.49628,-0.35279,0.77500,0.82500
28.66530,-2.57648,4.34695,1.46823,-0.37188,0.80000,0.82500
28.74256,-2.56745,4.42368,1.43877,-0.39074,0.85000,0.77500
28.81973,-2.55612,4.50001,1.40790,-0.40915,0.85000,0.80000
28.89686,-2.54239,4.57591,1.37566,-0.42684,0.87500,0.82500
28.97400,-2.52617,4.65133,1.34208,-0.44375,0.92500,0.85000
29.05113,-2.50739,4.72613,1.30712,-0.46322,0.92500,0.82500
29.12812,-2.48598,4.80009,1.27059,-0.48626,0.95000,0.85000
29.20487,-2.46189,4.87296,1.23227,-0.51297,1.00000,0.82500
29.28127,-2.43508,4.94451,1.19193,-0.54342,0.97500,0.82500
29.35726,-2.40550,5.01450,1.14936,-0.57763,1.02500,0.87500
29.43278,-2.37308,5.08270,1.10433,-0.61552,1.00000,0.87500
29.50777,-2.33778,5.14887,1.05664,-0.65685,1.02500,0.87500
29.58224,-2.29955,5.21277,1.00609,-0.70118,1.05000,0.90000
29.65619,-2.25833,5.27417,0.95252,-0.74778,1.02500,0.97500
29.72967,-2.21408,5.33283,0.89581,-0.79556,1.02500,1.00000
29.80276,-2.16673,5.38851,0.83592,-0.84302,1.02500,1.02500
29.87557,-2.11625,5.44098,0.77286,-0.88824,1.02500,1.05000
29.94826,-2.06257,5.49000,0.70680,-0.92023,1.05000,1.10000
30.02103,-2.00571,5.53540,0.64121,-0.88162,1.05000,1.17500
30.09403,-1.94585,5.57720,0.57836,-0.83956,1.05000,1.12500
30.16743,-1.88320,5.61544,0.51832,-0.79598,1.05000,1.15000
30.24133,-1.81798,5.65018,0.46111,-0.75247,1.05000,1.10000
30.31580,-1.75040,5.68147,0.40665,-0.71029,1.07500,1.07500
30.39090,-1.68067,5.70936,0.35482,-0.67033,1.05000,1.07500
30.46665,-1.60901,5.73390,0.30546,-0.63322,1.02500,1.05000
30.54304,-1.53563,5.75514,0.25840,-0.59933,1.02500,1.05000
30.62006,-1.46074,5.77313,0.21344,-0.56886,1.05000,1.07500
30.69766,-1.38456,5.78791,0.17036,-0.54191,1.05000,1.10000
30.77579,-1.30730,5.79955,0.12896,-0.51845,1.05000,1.12500
30.85438,-1.22917,5.80809,0.08902,-0.49843,1.00000,1.12500
