lap,t,lap_time,collisions
1,19.26,22.274,0
2,29.17,9.853,0
3,38.96,9.844,0
4,48.72,9.822,0
5,58.59,9.865,0
6,68.36,9.780,0
7,78.24,9.849,0
8,88.01,9.799,0
9,97.99,9.937,0
end,106.20,,2
