#{"t_start": 1789547604.873539, "env_id": "None"}
r,l,t
-28.535322,72,587.623382
-34.485859,69,592.041565
-32.193499,70,596.715644
-38.679978,68,601.602397
-46.498394,37,606.457422
-46.424188,19,609.24473
-47.595264,11,611.232478
-48.258097,17,614.132391
-13.825304,77,619.533681
-24.131039,80,624.597513
-23.919528,85,629.831621
-13.291329,87,635.139035
-15.208189,92,640.850037
-18.682454,94,646.705058
-4.384352,103,652.619851
-7.23676,109,658.987872
6.217512,124,666.268666
-1.917932,116,673.588699
-9.968362,106,681.648159
-3.213484,104,689.355855
6.708813,139,697.298296
4.606524,121,704.683314
1.112328,125,713.115664
10.933519,151,722.052427
-2.40272,160,731.729489
1.789479,147,740.337316
3.839096,168,750.456392
-3.124636,126,760.801859
4.532279,110,772.124217
-0.769873,270,787.37022
-3.712024,231,803.314095
5.881539,273,821.894089
0.043597,262,838.550495
4.336266,256,856.123773
-5.133018,289,876.166985
-2.674342,155,892.999642
-6.619998,263,910.611389
-27.792632,376,932.181954
-65.860726,312,952.155642
-15.081938,233,973.513919
-62.884554,387,996.495775
-29.38554,270,1014.124938
1.731428,159,1024.126391
-14.273291,114,1034.906131
-48.209007,27,1038.503447
-9.531376,119,1051.681301
-1.412659,185,1062.511744
-1.666078,197,1074.189978
-4.936317,247,1088.497947
-0.815745,182,1099.272136
-13.602474,263,1114.469356
-39.67597,352,1134.182429
7.365996,206,1145.622983
0.168982,258,1160.210555
0.185375,152,1169.163801
-0.07873,177,1179.084279
-0.965053,157,1188.834725
-10.9613,110,1197.152312
