t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate
0.000,0.000,0.8006,3.1583,-89.997,0.6390,-0.0502,-87.217,3.2085,-0.1618,3.2126,2.780,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.050,0.000,0.8006,3.1583,-89.997,0.6390,-0.0502,-87.217,3.2085,-0.1618,3.2126,2.780,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.100,0.000,0.8006,3.1583,-89.997,0.7482,1.8767,-88.910,1.2816,-0.0525,1.2827,1.087,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.150,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.200,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.250,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.300,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.350,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.400,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.452,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.500,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.550,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.600,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.650,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.700,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.750,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.800,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.850,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.900,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
0.950,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.000,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.050,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.100,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.150,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.200,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.250,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.300,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.350,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.400,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.450,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.500,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.550,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.600,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.650,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.700,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.750,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.800,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.850,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
1.900,0.000,0.8006,3.1583,-89.997,0.8246,3.2270,-90.096,-0.0687,0.0240,0.0728,-0.100,0.8246,3.2270,-0.100,0.0000,0.0000,-89.997,0.000,0.0000
