t,x,y,yaw,v_enc,imu_ax,imu_ay,imu_gz,throttle,steer,front
0.0,0.8002,3.1583,-1.5707407162970446,0.0,0.0002,0.0001,0.0,1.0,0.0,1.0797230005264282
0.020428180694580078,0.8002,3.1583,-1.5707407162970446,0.0,0.0002,0.0001,0.0,1.0,0.0,1.0797230005264282
0.040885210037231445,0.8002,3.1583,-1.5707407162970446,0.0,0.0002,0.0001,0.0,1.0,0.0,1.0797230005264282
0.06141400337219238,0.8002,3.1583,-1.5707407162970446,0.0,0.0002,0.0001,0.0,1.0,0.0,1.0797230005264282
0.08188796043395996,0.8002,3.1583,-1.5707407162970446,0.0,-0.0005,0.0001,0.0,1.0,0.0,1.0797230005264282
0.10230565071105957,0.8002,3.1583,-1.5707407162970446,0.0,-0.0005,0.0001,0.0,1.0,0.0,1.0797230005264282
0.12278342247009277,0.8002,3.1583,-1.5707407162970446,0.47849274676110326,-0.0005,0.0001,0.0,1.0,0.0,1.0797230005264282
0.14320874214172363,0.8002,3.1583,-1.5707407162970446,0.47849274676110326,-0.0005,0.0001,0.0,1.0,0.0,1.079712986946106
0.1634211540222168,0.8002,3.1583,-1.5707407162970446,0.47849274676110326,-0.0005,0.0001,0.0,1.0,0.0,1.079712986946106
0.18405437469482422,0.8002,3.1482,-1.570659902291341,0.47849274676110326,-0.0005,0.0001,0.0,1.0,0.0,1.079712986946106
0.20444703102111816,0.8002,3.1482,-1.570659902291341,0.47849274676110326,5.2964,0.0005,0.0,1.0,0.0,1.079712986946106
0.22481346130371094,0.8002,3.1482,-1.570659902291341,7.075221765223828,5.2964,0.0005,0.0,1.0,0.0,1.079712986946106
0.24525809288024902,0.8002,3.1482,-1.570659902291341,18.83676253851654,5.2964,0.0005,0.0,1.0,0.0,1.079712986946106
0.26590847969055176,0.8002,3.1482,-1.570659902291341,18.83676253851654,5.2964,0.0005,0.0,1.0,0.0,1.0796669721603394
0.28623294830322266,0.8002,3.1482,-1.570659902291341,18.83676253851654,5.2964,0.0005,0.0,1.0,0.0,1.0796669721603394
0.30696797370910645,0.8002,3.0795,-1.570854032338027,18.83676253851654,5.2964,0.0005,0.0,1.0,0.0,1.0796669721603394
0.3275017738342285,0.8002,3.0795,-1.570854032338027,18.83676253851654,5.1373,-0.0001,0.0,1.0,0.0,1.0796669721603394
0.3480031490325928,0.8002,3.0795,-1.570854032338027,24.51161674098387,5.1373,-0.0001,0.0,1.0,0.0,1.0796669721603394
0.3684990406036377,0.8002,3.0795,-1.570854032338027,24.750490005598543,5.1373,-0.0001,0.0,1.0,0.0,1.0796669721603394
0.38898611068725586,0.8002,3.0795,-1.570854032338027,24.750490005598543,5.1373,-0.0001,0.0,1.0,0.0,1.0796430110931396
0.4093003273010254,0.8002,3.0795,-1.570854032338027,24.750490005598543,5.1373,-0.0001,0.0,1.0,0.0,1.0796430110931396
