t,x,y,yaw,v_enc,imu_ax,imu_ay,imu_gz,throttle,steer,front
0.0,0.8002,3.1583,-1.5707407162970446,0.0,0.0005,0.0002,0.0,0.0,0.0,1.0797230005264282
0.020503759384155273,0.8002,3.1583,-1.5707407162970446,0.0,0.0005,0.0002,0.0,0.0,0.0,1.0797230005264282
0.04109454154968262,0.8002,3.1583,-1.5707407162970446,0.0,0.0005,0.0002,0.0,0.0,0.0,1.0797230005264282
0.06181049346923828,0.8002,3.1583,-1.5707407162970446,0.0,0.0005,0.0002,0.0,0.0,0.0,1.0797230005264282
0.08225250244140625,0.8002,3.1583,-1.5707407162970446,0.0,0.0,0.0003,0.0,0.0,0.0,1.0797230005264282
0.1026463508605957,0.8002,3.1583,-1.5707407162970446,0.0,0.0,0.0003,0.0,0.0,0.0,1.0797230005264282
0.12307596206665039,0.8002,3.1583,-1.5707407162970446,0.0,0.0,0.0003,0.0,0.0,0.0,1.0797230005264282
0.14361023902893066,0.8002,3.1583,-1.5707407162970446,0.0,0.0,0.0003,0.0,0.0,0.0,1.079712986946106
0.1638813018798828,0.8002,3.1583,-1.5707407162970446,0.0,0.0,0.0003,0.0,0.0,0.0,1.079712986946106
0.18417882919311523,0.8002,3.1583,-1.5707407162970446,0.0,0.0,0.0003,0.0,0.0,0.0,1.079712986946106
0.20443034172058105,0.8002,3.1583,-1.5707407162970446,0.0,0.0,0.0003,0.0,0.0,0.0,1.079712986946106
0.22519564628601074,0.8002,3.1583,-1.5707407162970446,0.0,0.0,0.0003,0.0,0.0,0.0,1.079712986946106
0.24558711051940918,0.8002,3.1583,-1.5707407162970446,0.0,0.0001,-0.0002,0.0,0.0,0.0,1.079712986946106
0.265988826751709,0.8002,3.1583,-1.5707407162970446,0.0,0.0001,-0.0002,0.0,0.0,0.0,1.079712986946106
0.28638458251953125,0.8002,3.1583,-1.5707407162970446,0.0,0.0001,-0.0002,0.0,0.0,0.0,1.079712986946106
0.3069651126861572,0.8002,3.1583,-1.5707407162970446,0.0,0.0001,-0.0002,0.0,0.0,0.0,1.0796899795532227
0.3272552490234375,0.8002,3.1583,-1.5707407162970446,0.0,0.0001,-0.0002,0.0,0.0,0.0,1.0796899795532227
0.3476290702819824,0.8002,3.1583,-1.5707407162970446,0.0,0.0001,-0.0002,0.0,0.0,0.0,1.0796899795532227
0.36798763275146484,0.8002,3.1583,-1.5707407162970446,0.0,0.0001,-0.0002,0.0,0.0,0.0,1.0796899795532227
0.38899803161621094,0.8002,3.1583,-1.5707407162970446,0.0,0.0001,-0.0002,0.0,0.0,0.0,1.0796899795532227
