t,ms,ok,fails,limited,slack,s,n,xi,v,delta,d_cmd,v_plan,a_plan
1789768369.844,76.8,1,0,1,0.000,0.00,0.154,0.241,0.30,0.000,-0.084,0.73,6.98
1789768369.864,18.4,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.084,-0.133,1.56,6.99
1789768369.884,17.9,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.084,-0.135,1.56,6.99
1789768369.909,24.1,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.084,-0.136,1.56,6.99
1789768369.935,24.4,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.135,-0.132,1.56,6.99
1789768369.955,17.9,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.136,-0.132,1.56,6.99
1789768369.975,18.3,1,0,1,0.000,0.00,0.157,0.237,0.30,-0.136,-0.128,1.56,6.99
1789768369.993,16.9,1,0,1,0.000,0.00,0.157,0.237,0.36,-0.132,-0.117,1.62,6.99
1789768370.012,17.5,1,0,1,0.000,0.00,0.162,0.227,0.46,-0.132,-0.097,1.71,6.99
1789768370.031,17.3,1,0,1,0.000,0.00,0.162,0.227,0.57,-0.128,-0.087,1.82,6.99
1789768370.050,16.4,1,0,1,0.000,0.00,0.167,0.219,0.68,-0.117,-0.076,1.92,6.99
1789768370.073,17.4,1,0,1,0.000,0.00,0.170,0.213,0.78,-0.097,-0.062,2.02,6.99
1789768370.102,24.3,1,0,1,0.000,0.00,0.174,0.208,0.90,-0.087,-0.052,2.13,6.99
1789768370.127,23.2,1,0,1,0.000,0.00,0.174,0.208,1.06,-0.062,-0.043,2.29,6.99
1789768370.149,20.4,1,0,1,0.000,0.11,0.188,0.178,1.23,-0.062,-0.028,2.45,6.99
1789768370.169,19.2,1,0,1,0.000,0.11,0.188,0.178,1.37,-0.052,-0.025,2.58,6.99
1789768370.187,15.8,1,0,1,0.000,0.11,0.192,0.174,1.48,-0.043,-0.023,2.69,6.99
1789768370.216,26.9,1,0,2,0.000,0.21,0.197,0.143,1.49,-0.043,0.037,2.63,5.96
1789768370.233,16.3,1,0,2,0.000,0.21,0.197,0.143,1.49,-0.023,-0.031,2.63,6.99
1789768370.253,17.7,1,0,2,0.000,0.32,0.210,0.110,1.47,-0.023,-0.011,2.62,7.00
1789768370.278,22.4,1,0,2,0.000,0.32,0.210,0.110,1.47,0.037,-0.017,2.67,7.00
