t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio
0.000,0.000,-1.8024,-3.3647,57.138,0.7982,-0.2273,-111.346,4.0465,-0.4820,4.0751,-168.484,-1.8767,-3.5915,0.399,0.1048,0.1623,57.138,0.002,0.0011,0.193,0.0000,0.0423,0.1169,2.7622
0.050,0.000,-1.8023,-3.3647,57.136,0.7982,-0.2273,-111.346,4.0464,-0.4818,4.0750,-168.482,-1.8767,-3.5915,0.399,0.1048,0.1623,57.138,0.001,0.0008,0.193,0.0001,0.0423,0.1167,2.7594
0.100,0.000,-1.8023,-3.3647,57.136,-0.9784,-2.6279,13.815,1.0660,-0.2922,1.1053,-43.321,-1.8767,-3.5915,0.399,0.1048,0.1623,57.136,0.001,0.0008,0.193,0.0001,0.0423,0.2258,5.3382
0.150,0.000,-1.8022,-3.3647,57.138,-1.7730,-3.4285,57.537,-0.0378,-0.0592,0.0702,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.138,0.001,0.0006,0.193,0.0002,0.0425,0.0076,0.1791
0.200,0.000,-1.8021,-3.3647,57.139,-1.7730,-3.4285,57.538,-0.0378,-0.0591,0.0702,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.139,0.001,0.0005,0.193,0.0003,0.0425,0.0077,0.1811
0.250,0.000,-1.8021,-3.3647,57.140,-1.7730,-3.4285,57.539,-0.0378,-0.0591,0.0702,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.140,0.001,0.0004,0.193,0.0003,0.0426,0.0078,0.1829
0.300,0.000,-1.8020,-3.3647,57.140,-1.7730,-3.4285,57.540,-0.0379,-0.0590,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.140,0.000,0.0003,0.193,0.0004,0.0427,0.0078,0.1837
0.350,0.000,-1.8020,-3.3647,57.141,-1.7730,-3.4285,57.540,-0.0379,-0.0590,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.141,0.000,0.0002,0.193,0.0004,0.0427,0.0079,0.1845
0.400,0.000,-1.8020,-3.3647,57.142,-1.7730,-3.4285,57.541,-0.0379,-0.0590,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.142,0.000,0.0002,0.193,0.0004,0.0427,0.0079,0.1856
0.450,0.000,-1.8019,-3.3647,57.142,-1.7730,-3.4285,57.541,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.142,0.000,0.0001,0.193,0.0005,0.0427,0.0079,0.1856
0.500,0.000,-1.8019,-3.3647,57.142,-1.7730,-3.4285,57.541,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.142,0.000,0.0001,0.193,0.0005,0.0428,0.0079,0.1854
0.550,0.000,-1.8019,-3.3647,57.142,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.142,0.000,0.0001,0.193,0.0005,0.0428,0.0079,0.1854
0.600,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0001,0.193,0.0005,0.0428,0.0079,0.1852
0.651,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0001,0.193,0.0005,0.0428,0.0079,0.1852
0.700,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0001,0.193,0.0005,0.0428,0.0079,0.1852
0.750,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0079,0.1849
0.800,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0079,0.1848
0.850,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0079,0.1848
0.900,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0079,0.1848
0.950,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0079,0.1848
1.000,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0079,0.1848
1.050,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0079,0.1848
1.100,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0079,0.1848
1.150,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0079,0.1848
1.200,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0079,0.1848
1.250,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0079,0.1848
1.300,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0079,0.1848
1.350,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0080,0.1859
1.400,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0080,0.1859
1.450,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0080,0.1859
1.500,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0080,0.1859
1.550,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0080,0.1859
1.600,0.000,-1.8019,-3.3647,57.143,-1.7730,-3.4285,57.542,-0.0379,-0.0589,0.0701,0.399,-1.8767,-3.5915,0.399,0.1048,0.1623,57.143,0.000,0.0000,0.193,0.0005,0.0429,0.0080,0.1859
