t,ms,ok,fails,limited,slack,s,n,xi,v,delta,d_cmd,v_plan,a_plan
1789772162.803,109.2,1,0,1,0.001,0.00,0.154,0.241,0.30,0.000,-0.030,0.67,5.98
1789772162.820,15.8,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.030,-0.112,1.45,7.00
1789772162.839,12.4,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.030,-0.192,1.51,7.00
1789772162.860,11.7,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.030,-0.235,1.58,7.00
1789772162.885,14.1,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.102,-0.258,1.58,7.00
1789772162.905,11.5,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.173,-0.265,1.58,7.00
1789772162.927,11.9,1,0,1,0.000,0.00,0.157,0.236,0.30,-0.235,-0.261,1.58,7.00
1789772162.951,13.3,1,0,1,0.000,0.00,0.159,0.228,0.37,-0.258,-0.250,1.64,7.00
1789772162.973,13.2,1,0,1,0.000,0.00,0.162,0.219,0.47,-0.265,-0.233,1.74,7.00
1789772162.997,15.3,1,0,1,0.000,0.00,0.165,0.207,0.57,-0.261,-0.212,1.83,7.00
1789772163.016,11.4,1,0,1,0.000,0.00,0.165,0.207,0.67,-0.250,-0.190,1.93,7.00
1789772163.039,12.4,1,0,1,0.000,0.00,0.169,0.191,0.78,-0.233,-0.178,2.03,7.00
1789772163.060,11.7,1,0,1,0.000,0.11,0.176,0.151,0.87,-0.212,-0.134,2.12,7.00
1789772163.082,11.1,1,0,1,0.000,0.11,0.180,0.137,0.97,-0.190,-0.118,2.21,7.00
1789772163.105,11.9,1,0,1,0.000,0.11,0.180,0.137,1.10,-0.178,-0.114,2.33,7.00
1789772163.127,12.0,1,0,1,0.000,0.11,0.186,0.113,1.25,-0.134,-0.102,2.47,7.00
1789772163.149,11.4,1,0,1,0.000,0.21,0.189,0.076,1.37,-0.118,-0.074,2.59,7.00
1789772163.170,10.4,1,0,1,0.000,0.21,0.191,0.066,1.40,-0.114,-0.059,2.62,7.00
1789772163.192,10.0,1,0,1,0.000,0.21,0.193,0.057,1.39,-0.102,-0.056,2.61,7.00
1789772163.217,13.0,1,0,1,0.000,0.32,0.194,0.026,1.42,-0.074,-0.045,2.64,7.00
1789772163.238,11.9,1,0,1,0.000,0.32,0.194,0.026,1.46,-0.059,-0.042,2.67,7.00
1789772163.263,14.1,1,0,1,0.000,0.32,0.196,0.013,1.50,-0.056,-0.036,2.72,7.00
1789772163.281,10.7,1,0,1,0.000,0.42,0.195,-0.015,1.58,-0.045,-0.017,2.79,7.00
1789772163.304,11.2,1,0,1,0.000,0.42,0.195,-0.019,1.62,-0.042,-0.011,2.83,7.00
1789772163.327,12.1,1,0,1,0.000,0.52,0.193,-0.044,1.67,-0.036,-0.002,2.87,7.00
1789772163.349,11.5,1,0,1,0.000,0.52,0.192,-0.046,1.70,-0.017,-0.000,2.90,7.00
1789772163.371,11.2,1,0,1,0.000,0.52,0.190,-0.047,1.73,-0.011,0.001,2.93,7.00
1789772163.395,13.4,1,0,1,0.000,0.62,0.187,-0.068,1.73,-0.002,0.009,2.93,7.00
1789772163.415,11.2,1,0,1,0.000,0.62,0.185,-0.068,1.71,-0.000,0.013,2.92,7.00
1789772163.438,11.6,1,0,1,0.000,0.62,0.185,-0.068,1.70,0.001,0.014,2.91,7.00
1789772163.459,10.5,1,0,1,0.000,0.72,0.178,-0.086,1.74,0.009,0.023,2.94,7.00
1789772163.483,11.9,1,0,1,0.000,0.72,0.174,-0.084,1.78,0.013,0.025,2.98,7.00
1789772163.515,21.4,1,0,1,0.000,0.82,0.171,-0.101,1.79,0.014,0.032,2.99,7.00
1789772163.533,15.9,1,0,1,0.000,0.82,0.171,-0.101,1.80,0.023,0.033,3.00,7.00
1789772163.555,16.7,1,0,1,0.000,0.82,0.165,-0.097,1.80,0.025,0.030,3.00,7.00
1789772163.574,13.6,1,0,1,0.000,0.92,0.161,-0.112,1.80,0.032,0.036,3.00,7.00
1789772163.597,14.6,1,0,1,0.000,0.92,0.154,-0.106,1.77,0.033,0.034,2.97,7.00
1789772163.617,13.0,1,0,1,0.000,1.02,0.148,-0.118,1.81,0.030,0.040,3.01,7.00
1789772163.648,21.1,1,0,1,0.000,1.02,0.143,-0.114,1.85,0.036,0.039,3.05,7.00
1789772163.664,14.4,1,0,1,0.000,1.02,0.143,-0.114,1.87,0.034,0.039,3.07,7.00
1789772163.683,12.3,1,0,1,0.000,1.12,0.132,-0.121,1.86,0.040,0.042,3.06,7.00
1789772163.708,14.9,1,0,1,0.000,1.12,0.132,-0.121,1.89,0.039,0.041,3.08,7.00
1789772163.728,12.5,1,0,1,0.000,1.22,0.121,-0.127,1.88,0.039,0.043,3.07,7.00
1789772163.755,17.9,1,0,1,0.000,1.32,0.116,-0.137,1.90,0.042,0.041,3.10,7.00
1789772163.774,13.7,1,0,1,0.000,1.32,0.111,-0.133,1.88,0.041,0.040,3.07,7.00
1789772163.796,14.1,1,0,1,0.000,1.32,0.105,-0.127,1.90,0.043,0.039,3.09,7.00
1789772163.821,15.6,1,0,1,0.000,1.42,0.100,-0.137,1.89,0.041,0.037,3.09,7.00
1789772163.841,14.4,1,0,1,-0.000,1.42,0.094,-0.132,1.89,0.040,0.037,3.09,7.00
1789772163.862,13.3,1,0,1,-0.000,1.42,0.094,-0.132,1.87,0.039,0.037,3.07,7.00
1789772163.886,14.6,1,0,1,0.000,1.52,0.082,-0.136,1.88,0.037,0.033,3.07,7.00
1789772163.908,14.5,1,0,1,0.000,1.62,0.076,-0.132,1.90,0.037,0.025,3.09,7.00
1789772163.929,13.0,1,0,1,0.000,1.62,0.076,-0.132,1.91,0.037,0.024,3.11,7.00
1789772163.951,13.0,1,0,1,0.000,1.62,0.065,-0.123,1.89,0.033,0.027,3.09,7.00
1789772163.976,16.4,1,0,1,0.000,1.72,0.061,-0.108,1.92,0.025,0.018,3.12,7.00
1789772164.005,22.7,1,0,1,0.000,1.72,0.056,-0.104,1.94,0.024,0.017,3.14,7.00
1789772164.027,20.1,1,0,1,-0.000,1.72,0.056,-0.104,1.96,0.018,0.017,3.15,7.00
1789772164.043,14.0,1,0,1,0.000,1.82,0.047,-0.085,1.94,0.018,0.016,3.13,7.00
1789772164.063,14.3,1,0,1,0.000,1.92,0.044,-0.072,1.95,0.017,0.016,3.14,7.00
