t,ms,ok,fails,limited,slack,s,n,xi,v,delta,d_cmd,v_plan,a_plan
1789762738.516,79.3,1,0,1,0.000,0.00,0.154,0.241,0.30,0.000,0.001,0.64,7.00
1789762738.537,19.0,1,0,1,0.000,0.00,0.154,0.241,0.30,0.001,0.000,0.98,7.00
1789762738.552,13.7,1,0,1,0.000,0.00,0.154,0.241,0.30,0.000,-0.003,0.98,7.00
1789762738.567,13.5,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.003,-0.004,0.98,7.00
1789762738.586,15.8,1,0,1,0.000,0.00,0.154,0.241,0.30,-0.004,-0.004,0.98,7.00
1789762738.620,26.9,1,0,2,0.000,0.00,0.154,0.241,0.30,-0.004,-0.004,0.98,7.00
1789762738.637,15.8,1,0,2,0.000,0.00,0.157,0.241,0.30,-0.004,-0.004,0.98,7.00
1789762738.651,12.7,1,0,2,0.000,0.00,0.157,0.241,0.37,-0.004,-0.005,1.05,7.00
1789762738.675,15.1,1,0,2,0.000,0.00,0.159,0.241,0.52,-0.005,-0.005,1.19,7.00
1789762738.695,13.4,1,0,2,0.000,0.00,0.163,0.241,0.67,-0.005,-0.004,1.34,7.00
1789762738.718,13.8,1,0,2,0.000,0.00,0.170,0.241,0.82,-0.004,-0.005,1.49,7.00
1789762738.741,15.1,1,0,2,0.000,0.00,0.175,0.240,0.97,-0.005,-0.005,1.63,7.00
1789762738.765,16.9,1,0,2,0.000,0.11,0.180,0.227,1.10,-0.005,-0.005,1.76,7.00
1789762738.787,16.1,1,0,2,0.000,0.11,0.180,0.227,1.21,-0.005,-0.005,1.87,7.00
1789762738.810,15.8,1,0,2,0.000,0.11,0.180,0.227,1.28,-0.005,-0.005,1.94,7.00
1789762738.828,12.8,1,0,2,0.000,0.11,0.193,0.226,1.41,-0.005,-0.005,2.06,7.00
1789762738.853,16.1,1,0,2,0.000,0.11,0.199,0.225,1.54,-0.005,-0.005,2.19,7.00
1789762738.877,17.6,1,0,2,0.000,0.21,0.207,0.199,1.68,-0.005,-0.003,2.32,7.00
1789762738.901,19.4,1,0,2,0.000,0.21,0.214,0.198,1.82,-0.003,-0.002,2.46,7.00
1789762738.916,12.5,1,0,2,0.000,0.32,0.221,0.174,1.93,-0.002,-0.002,2.57,7.00
1789762738.940,13.7,1,0,2,0.000,0.32,0.234,0.173,2.07,-0.002,-0.001,2.71,7.00
1789762738.960,11.9,1,0,2,0.000,0.42,0.241,0.150,2.18,-0.001,-0.002,2.81,7.00
1789762738.986,15.8,1,0,2,0.000,0.42,0.248,0.150,2.26,-0.002,-0.001,2.89,7.00
1789762739.010,16.6,1,0,2,0.000,0.42,0.248,0.150,2.31,-0.001,-0.001,2.94,7.00
1789762739.030,15.2,1,0,2,0.000,0.52,0.256,0.129,2.33,-0.001,-0.001,2.96,7.00
