t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
66.050,158.281,1.1937,-16.1691,-60.060,1.4793,-4.8720,-57.441,-9.6469,5.8858,11.3007,2.619,-0.5643,18.6126,2.619,0.9684,-23.5535,-60.060,0.000,0.0000,157.615,4.2651,0.0037,0.2710,72.3411,0,0.1998,2.4753,nan,2.5062,0.6798,0.0269,1.0000,0.8000,0.2854,-0.7059,1.0020,18.1626,0.1200,8.8831,0.0958
66.101,158.281,1.1937,-16.1691,-60.060,1.4793,-4.8720,-57.441,-9.6470,5.8858,11.3008,2.619,-0.5643,18.6126,2.619,0.9683,-23.5534,-60.060,0.000,0.0000,157.615,4.2650,0.0037,0.2710,72.3411,0,0.1998,2.4753,nan,2.5062,0.6798,0.0269,1.0000,0.8000,0.2854,-0.7059,1.0020,18.1626,0.1200,8.8831,0.0958
66.150,158.281,1.1937,-16.1691,-60.060,1.4792,-4.8719,-57.441,-9.6470,5.8858,11.3008,2.619,-0.5643,18.6126,2.619,0.9683,-23.5534,-60.060,0.000,0.0000,157.615,4.2650,0.0037,0.2710,72.3411,0,0.1998,2.4753,nan,2.5062,0.6798,0.0269,1.0000,0.8000,0.2854,-0.7059,1.0020,18.1626,0.1200,8.8831,0.0958
66.201,158.281,1.1937,-16.1691,-60.060,1.4792,-4.8719,-57.441,-9.6471,5.8858,11.3009,2.619,-0.5643,18.6126,2.619,0.9683,-23.5533,-60.060,0.000,0.0000,157.615,4.2649,0.0037,0.2710,72.3390,0,0.1998,2.4753,nan,2.5062,0.6798,0.0269,1.0000,0.8000,0.2854,-0.7059,1.0020,18.1626,0.1200,8.8831,0.0958
66.250,158.281,1.1937,-16.1691,-60.060,1.4792,-4.8718,-57.441,-9.6472,5.8858,11.3009,2.619,-0.5643,18.6126,2.619,0.9683,-23.5533,-60.060,0.000,0.0000,157.615,4.2648,0.0037,0.2710,72.3328,0,0.1998,2.4753,nan,2.5062,0.6798,0.0269,1.0000,0.8000,0.2854,-0.7059,1.0020,18.1626,0.1200,8.8831,0.0958
66.300,158.281,1.1937,-16.1691,-60.060,1.4791,-4.8717,-57.441,-9.6472,5.8858,11.3010,2.619,-0.5643,18.6126,2.619,0.9682,-23.5532,-60.060,0.000,0.0000,157.615,4.2648,0.0037,0.2710,72.3368,0,0.1998,2.4753,nan,2.5062,0.6798,0.0269,1.0000,0.8000,0.2854,-0.7059,1.0020,18.1626,0.1200,8.8831,0.0958
66.350,158.281,1.1937,-16.1691,-60.060,1.4791,-4.8717,-57.441,-9.6473,5.8858,11.3010,2.619,-0.5643,18.6126,2.619,0.9682,-23.5532,-60.060,0.000,0.0000,157.615,4.2647,0.0037,0.2710,72.3429,0,0.1998,2.4753,nan,2.5062,0.6798,0.0269,1.0000,0.8000,0.2854,-0.7059,1.0020,18.1626,0.1200,8.8831,0.0958
66.400,158.281,1.1937,-16.1691,-60.060,1.4791,-4.8717,-57.441,-9.6473,5.8858,11.3011,2.619,-0.5643,18.6126,2.619,0.9682,-23.5531,-60.060,0.000,0.0000,157.615,4.2647,0.0037,0.2710,72.3376,0,0.1998,2.4753,nan,2.5062,0.6798,0.0269,1.0000,0.8000,0.2854,-0.7059,1.0020,18.1626,0.1200,8.8831,0.0958
66.450,158.281,1.1937,-16.1691,-60.060,1.4790,-4.8716,-57.441,-9.6474,5.8858,11.3011,2.619,-0.5643,18.6126,2.619,0.9681,-23.5530,-60.060,0.000,0.0000,157.615,4.2646,0.0037,0.2710,72.3366,0,0.1998,2.4753,nan,2.5062,0.6798,0.0269,1.0000,0.8000,0.2854,-0.7059,1.0020,18.1626,0.1200,8.8831,0.0958
66.500,158.281,1.1937,-16.1691,-60.060,1.4790,-4.8715,-57.441,-9.6475,5.8858,11.3012,2.619,-0.5643,18.6126,2.619,0.9681,-23.5530,-60.060,0.000,0.0000,157.615,4.2645,0.0037,0.2710,72.3428,0,0.1998,2.4753,nan,2.5062,0.6798,0.0269,1.0000,0.8000,0.2854,-0.7059,1.0020,18.1626,0.1200,8.8831,0.0958
