#{"t_start": 1789548827.974488, "env_id": "None"}
r,l,t
-57.571956,20,3.381447
-50.083787,19,4.984486
-52.797196,25,6.921577
-50.581464,27,9.000457
-52.957357,19,10.665959
-46.852236,37,13.337425
-52.321014,17,14.934092
-52.211764,24,16.90901
-47.503881,31,19.163696
-51.74805,21,20.890616
-47.992827,23,22.792203
-45.824176,25,25.54483
-48.251204,13,27.365409
-48.895249,33,30.065341
-55.448323,20,31.766853
-52.061682,15,33.165369
-52.42568,20,34.898059
-42.22167,44,38.047289
-50.793403,22,39.884227
-47.373094,30,42.131089
-56.948181,16,43.582634
-52.816485,19,45.229946
-57.166817,19,46.831324
-55.355374,16,48.29551
-49.540298,20,50.014606
-52.095037,26,52.051048
-48.630728,28,54.199579
-52.30475,42,57.182602
-46.062492,34,59.783239
-53.978759,20,61.514164
-52.215496,25,63.49963
-48.014145,28,65.647032
-46.548434,27,67.786032
-45.815917,26,69.869156
-53.086508,19,71.528807
-53.785398,17,72.981771
-54.535772,11,74.130658
-55.58557,11,75.298352
-56.508125,15,76.798791
-52.255954,22,78.715042
-48.121635,24,80.718612
-56.922646,20,82.466741
-50.292015,23,84.256924
-50.480503,26,86.307883
-57.613394,16,87.768567
-55.92575,25,89.735575
-50.517801,30,92.0028
-49.648442,26,93.950438
-57.017177,18,95.566621
-50.859911,27,97.588521
-52.627883,15,99.111658
-52.019072,34,102.468818
-51.034603,29,104.617495
-49.953641,37,107.234497
-47.300468,35,109.70305
-51.742244,16,111.104673
-46.264815,32,113.385151
-47.94876,31,115.599106
-57.211751,17,117.212046
-51.040058,18,118.782089
-50.722338,22,120.618524
-53.321118,14,122.009664
-55.623257,19,123.63977
-48.780239,22,125.483463
-56.017441,27,127.64039
-51.264448,27,130.631281
-55.786494,10,132.27503
-48.561917,12,134.203318
-46.900224,25,136.35136
-48.937366,25,138.353955
-57.855421,19,139.952946
-44.916611,43,142.901723
-59.229086,21,144.737184
-52.485227,20,146.468206
-50.574591,18,148.151319
-53.141554,19,149.819635
-53.650741,21,151.54992
-46.815206,24,153.503035
-51.748426,18,155.203331
-51.663618,18,156.821483
-58.606666,18,158.384666
-51.595879,21,160.186323
-50.036941,20,161.867221
-51.619464,25,163.833871
-51.001693,28,166.100858
-51.34957,16,167.57011
-45.03264,27,169.670056
-52.424892,19,171.270551
-51.259775,23,173.201109
-46.569241,47,176.455575
-50.764012,25,178.419576
-51.662284,25,180.501767
-51.292034,17,182.119318
-51.309491,17,183.718712
-53.376943,23,185.702344
-59.053797,23,187.634414
-52.149091,33,190.120268
-49.409525,22,192.003493
-47.212483,42,195.033361
-47.116647,26,197.222625
-55.834551,18,198.986504
-52.229536,15,200.452837
-53.275873,16,201.951732
-52.637588,21,203.804536
-48.007713,29,206.104015
-56.967322,20,207.885658
-51.1335,17,209.486383
-54.56946,17,211.087642
-53.302722,19,212.874115
-41.916204,34,215.419813
-56.070096,17,216.987262
-49.955468,21,218.72101
-55.281451,21,220.555035
-53.499536,25,222.521616
-54.247867,16,224.022184
-53.439573,26,226.204076
-53.394429,16,227.738867
-51.364674,36,230.4034
-48.501919,18,232.051818
-59.228379,20,233.872007
-53.881352,20,235.537949
-48.429593,24,237.456417
-60.908088,19,239.076946
-45.29264,50,242.358379
-53.048828,27,244.366153
-54.283372,19,245.940588
-54.231833,17,247.422651
-48.97802,24,249.526952
