t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay,v2_x,v2_y,v2_err_along,v2_err_cross,v2_err_dist,v2_mode,v2_along_info,v2_cross_info,v2_dx_meas,v2_dy_meas,v2_dx_appl,v2_dy_appl,v2_inlier_frac,v2_resid_m,v2_yaw_hint_deg,v2_iters,v2_compute_ms,v2_reject,v2_clamp_m,v2_pending_m,v2_k_scale,v2_sig_along,v2_sig_cross
0.500,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,-0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,-0.0000,-0.0011,0.0011,3.0000,0.3841,86.7313,0.0000,-0.0197,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,1.3990,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.550,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,-0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,-0.0000,-0.0011,0.0011,3.0000,0.3834,86.7381,0.0000,-0.0197,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,1.7728,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.600,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3841,86.7328,0.0000,-0.0197,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,1.3842,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.650,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3827,86.7342,0.0000,-0.0198,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,1.8444,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.700,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3813,86.7489,0.0000,-0.0200,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,1.4440,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.750,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3824,86.7352,0.0000,-0.0199,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.3262,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.800,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3808,86.7517,0.0000,-0.0201,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,1.4412,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.850,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3810,86.7770,0.0000,-0.0201,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.8509,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.900,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3810,86.7856,0.0000,-0.0201,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.7543,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
0.950,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3810,86.7869,0.0000,-0.0201,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,1.7437,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.000,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3810,86.7871,0.0000,-0.0201,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,1.5739,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.050,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3803,86.7926,0.0000,-0.0202,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.4673,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.100,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3803,86.7917,0.0000,-0.0202,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.8595,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.150,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3803,86.7904,0.0000,-0.0202,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.2334,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.200,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3803,86.7947,0.0000,-0.0202,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.1852,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.250,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3810,86.7897,0.0000,-0.0201,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,2.8379,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.300,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3817,86.7817,0.0000,-0.0200,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,2.4674,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.350,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3801,86.7954,0.0000,-0.0202,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,1.3289,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.400,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3797,86.7837,0.0000,-0.0203,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.7251,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.450,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3793,86.8049,0.0000,-0.0203,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,1.3416,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.500,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3788,86.8075,0.0000,-0.0204,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,1.4980,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.550,0.000,0.8008,3.1583,-89.997,0.7997,3.1583,-89.997,0.0000,-0.0011,0.0011,-0.000,0.7997,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7997,3.1583,0.0000,-0.0011,0.0011,3.0000,0.3780,86.8262,0.0000,-0.0205,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,1.9231,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.600,0.000,0.8008,3.1583,-89.997,0.7998,3.1583,-89.997,0.0000,-0.0010,0.0010,-0.000,0.7998,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7998,3.1583,0.0000,-0.0010,0.0010,3.0000,0.3775,86.8351,0.0000,-0.0206,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.5526,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.650,0.000,0.8008,3.1583,-89.997,0.7998,3.1583,-89.997,0.0000,-0.0010,0.0010,-0.000,0.7998,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7998,3.1583,0.0000,-0.0010,0.0010,3.0000,0.3769,86.8412,0.0000,-0.0207,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,1.4541,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.700,0.000,0.8008,3.1583,-89.997,0.7998,3.1583,-89.997,0.0000,-0.0010,0.0010,-0.000,0.7998,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7998,3.1583,0.0000,-0.0010,0.0010,3.0000,0.3767,86.8648,0.0000,-0.0207,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.6189,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.750,0.000,0.8008,3.1583,-89.997,0.7998,3.1583,-89.997,0.0000,-0.0010,0.0010,-0.000,0.7998,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7998,3.1583,0.0000,-0.0010,0.0010,3.0000,0.3767,86.8782,0.0000,-0.0207,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,1.4481,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.800,0.000,0.8008,3.1583,-89.997,0.7998,3.1583,-89.997,0.0000,-0.0010,0.0010,-0.000,0.7998,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7998,3.1583,0.0000,-0.0010,0.0010,3.0000,0.3767,86.8729,0.0000,-0.0207,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,1.9220,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.850,0.000,0.8008,3.1583,-89.997,0.7998,3.1583,-89.997,0.0000,-0.0010,0.0010,-0.000,0.7998,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7998,3.1583,0.0000,-0.0010,0.0010,3.0000,0.3767,86.8762,0.0000,-0.0207,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.1487,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.900,0.000,0.8008,3.1583,-89.997,0.7998,3.1583,-89.997,0.0000,-0.0010,0.0010,-0.000,0.7998,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7998,3.1583,0.0000,-0.0010,0.0010,3.0000,0.3767,86.8767,0.0000,-0.0207,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.7447,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
1.950,0.000,0.8008,3.1583,-89.997,0.7998,3.1583,-89.997,0.0000,-0.0010,0.0010,-0.000,0.7998,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7998,3.1583,0.0000,-0.0010,0.0010,3.0000,0.3770,86.8739,0.0000,-0.0207,-0.0000,-0.0000,1.0000,0.0028,0.0000,4.0000,1.5488,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
2.000,0.000,0.8008,3.1583,-89.997,0.7998,3.1583,-89.997,0.0000,-0.0010,0.0010,-0.000,0.7998,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7998,3.1583,0.0000,-0.0010,0.0010,3.0000,0.3766,86.8689,0.0000,-0.0208,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.9481,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
2.050,0.000,0.8008,3.1583,-89.997,0.7998,3.1583,-89.997,0.0000,-0.0010,0.0010,-0.000,0.7998,3.1583,0.000,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7998,3.1583,0.0000,-0.0010,0.0010,3.0000,0.3763,86.8739,0.0000,-0.0208,0.0000,0.0000,1.0000,0.0028,0.0000,4.0000,2.2573,5.0000,0.0000,0.0000,0.0250,0.0500,0.0250
