#{"t_start": 1787521111.830546, "env_id": "None"}
r,l,t
-0.181472,18,714.681042
28.341894,78,724.652376
-0.942762,22,728.411349
35.28253,78,738.147169
89.118398,145,755.453831
53.240756,85,766.786973
115.021296,190,790.31008
112.240898,171,811.336342
55.435425,71,821.121726
53.693154,74,831.578028
50.087509,85,842.70071
38.016,57,850.524003
42.04115,47,857.15007
37.247369,55,864.396725
39.089814,43,870.193412
-12.956655,9,872.048875
-6.31681,15,874.672681
-5.262785,9,876.535693
56.259313,74,886.221841
63.429447,84,897.239363
66.733767,82,907.955834
59.15107,81,918.38565
-6.547184,10,920.407605
186.216293,223,948.021133
53.250069,69,956.999405
105.620988,129,972.791669
35.25495,61,980.764562
33.528759,54,988.342901
68.99811,84,999.910135
63.232976,88,1011.71657
32.87209,67,1020.363688
-12.816759,8,1022.108186
103.515885,121,1036.883821
68.117874,81,1047.83191
33.625626,44,1054.176735
70.234093,76,1064.755242
36.384803,55,1072.339965
64.395485,78,1082.81442
-12.965548,9,1084.675786
29.789465,54,1092.251924
74.491443,64,1101.031925
33.867535,41,1106.640278
40.200747,45,1113.002347
-5.66073,13,1115.374231
36.70297,56,1122.744679
1.489605,13,1125.129597
-5.535528,12,1127.173963
40.969639,43,1133.137667
37.422467,51,1140.113847
63.601103,78,1150.157645
45.994032,69,1159.195376
45.935425,55,1166.712908
110.266555,130,1182.781593
-5.249264,12,1185.031609
115.770287,119,1199.706228
108.794032,118,1214.72864
117.251336,113,1229.413557
60.435183,57,1237.155401
241.464551,248,1267.61696
268.12952,281,1302.522933
70.41652,69,1312.045634
22.827425,28,1316.34205
60.311901,85,1327.766893
34.680149,57,1335.732891
67.687337,72,1345.35927
159.404599,152,1365.278605
120.338445,126,1381.944007
60.709911,64,1390.384742
1.607203,12,1392.72583
114.21203,95,1405.990466
189.035714,179,1430.007609
62.183784,55,1438.024905
61.337142,64,1446.737442
-6.775036,12,1449.022635
61.783072,60,1457.10114
321.200412,307,1496.747552
0.604125,12,1499.133425
717.329571,610,1578.124868
63.18961,61,1586.057632
54.173634,65,1594.603725
62.845914,64,1603.588022
113.61802,116,1619.019377
143.407153,160,1639.234957
162.733718,123,1656.318659
1.65546,14,1659.01762
115.974611,140,1677.159149
124.931621,125,1693.57424
73.64407,74,1703.892572
327.794725,304,1741.6065
113.940605,115,1757.038041
83.28196,72,1766.859969
-5.666554,12,1769.057889
-6.120326,12,1771.298685
415.636741,352,1814.388355
81.655437,61,1823.534816
7.585448,23,1827.11955
249.899372,219,1856.023474
14.024306,28,1860.490579
397.183813,340,1904.208561
-5.288043,8,1906.122252
20.191261,34,1911.208721
65.108678,67,1920.262277
327.40882,275,1956.308871
-4.983668,8,1958.39771
341.494866,288,1996.175318
137.34316,132,2012.84262
-5.22469,9,2015.078814
259.857173,222,2043.386168
132.723625,124,2060.017918
419.871154,338,2104.057278
129.340892,123,2120.868265
795.969601,626,2199.367074
68.132767,60,2207.617065
268.370561,225,2237.102685
254.41168,224,2265.62084
1.611953,11,2268.112279
398.721129,316,2308.496689
607.468478,491,2370.16397
795.44875,623,2449.085313
81.03727,73,2458.806734
61.01573,65,2468.010613
268.528686,217,2496.084821
6.920971,19,2499.401561
-6.117161,12,2501.677773
-5.815608,11,2504.109923
21.621781,27,2508.554268
14.070938,25,2512.652157
293.475367,231,2542.739286
475.734742,363,2589.093606
394.904805,308,2630.274292
67.919308,69,2639.765428
138.333243,109,2654.348592
1.573797,12,2656.766513
130.617289,109,2671.706837
132.496807,110,2686.371441
667.879066,510,2750.058196
1074.111528,796,2853.353716
341.621634,275,2887.921502
481.345274,356,2934.016798
588.567227,461,2992.985898
706.580183,503,3059.772726
925.342886,690,3148.463378
1068.058539,804,3251.419803
603.93662,430,3306.968666
1081.64424,796,3408.876677
141.953762,117,3424.19365
136.484153,111,3438.937158
260.061654,204,3466.086162
620.678868,446,3523.695634
399.860561,309,3562.622727
528.463779,383,3613.225305
811.922016,576,3687.913472
1471.832972,1047,3822.648797
-5.781754,9,3824.732648
1406.282172,1012,3954.45902
876.291409,635,4036.792632
-5.647568,11,4038.988651
-5.827092,9,4040.972437
259.634167,193,4065.87413
341.278018,245,4097.178162
409.974551,297,4136.12142
