lap,t,lap_time,collisions
1,16.03,33.39,0
2,25.05,9.02,0
3,34.17,9.12,0
4,49.91,15.74,1
5,59.01,9.1,0
6,68.16,9.13,0
7,77.29,9.13,0
8,86.42,9.13,0
9,95.6,9.2,0
10,104.79,9.19,0
11,113.92,9.13,0
