lap,t,lap_time,collisions
1,16.2,61.53,0
2,25.87,9.66,0
3,35.43,9.55,0
4,44.95,9.53,0
5,54.55,9.62,0
6,64.08,9.51,0
7,73.67,9.6,0
8,83.18,9.49,0
9,92.82,9.66,0
10,102.44,9.62,0
11,112.02,9.56,0
12,121.65,9.64,0
13,131.29,9.64,0
14,140.87,9.58,0
15,150.45,9.58,0
16,159.91,9.46,0
17,169.37,9.46,0
18,178.83,9.46,0
19,188.35,9.5,0
20,197.76,9.45,0
21,207.32,9.55,0
22,216.82,9.49,0
23,226.29,9.49,0
24,235.76,9.46,0
25,245.29,9.52,0
26,254.83,9.54,0
27,264.44,9.61,0
28,273.94,9.49,0
29,283.42,9.47,0
30,293.07,9.64,0
31,302.51,9.48,0
32,312.02,9.5,0
33,321.56,9.54,0
34,330.98,9.4,0
35,346.32,15.38,1
36,355.97,9.63,1
37,365.53,9.57,1
38,375.07,9.52,1
39,384.58,9.52,1
