lap,t,lap_time,collisions
1,14.57,17.515,0
2,26.00,11.403,0
3,37.36,11.464,0
4,48.82,11.470,0
5,60.52,11.621,0
6,71.79,11.290,0
7,83.05,11.214,0
end,89.89,,2
