#{"t_start": 1787641212.897058, "env_id": "None"}
r,l,t
2.117309,25,2510.468973
631.607723,670,2548.570303
341.438974,372,2569.999272
341.87547,368,2591.192093
1264.738328,1318,2665.703339
128.692708,159,2675.267908
191.394966,227,2688.77033
124.071843,143,2697.530497
1790.201494,1895,2804.005346
47.82122,75,2808.943105
401.660708,438,2834.23011
49.386288,78,2839.436116
59.10894,83,2844.856347
52.42588,78,2849.951574
505.11917,553,2881.481235
756.936919,814,2928.017341
261.079606,283,2944.447618
411.911364,438,2969.590318
79.847888,102,2976.038406
86.537501,106,2982.808157
414.221284,439,3008.129622
693.857675,725,3049.084337
70.690547,108,3055.880418
567.305265,608,3090.296882
117.488756,162,3100.078563
331.071537,385,3122.248296
75.872769,113,3129.336587
276.976182,338,3148.9889
47.529322,93,3155.144701
119.304347,142,3163.892471
391.565386,443,3189.187702
256.459714,292,3206.117621
72.658531,104,3212.655672
1328.365547,1459,3294.81534
1039.869712,1128,3358.492709
349.528119,380,3380.483681
679.699102,755,3423.40175
113.620536,149,3432.522953
886.719212,970,3487.416292
321.274993,370,3508.893357
258.593522,301,3526.448524
394.911424,440,3551.820247
1028.625616,1089,3613.532001
683.103236,760,3656.506959
1860.672736,2007,3769.243365
493.038142,541,3800.278682
121.891374,146,3809.184369
1107.241071,1183,3876.011492
608.4873,685,3914.869878
115.59685,143,3923.652063
318.148796,386,3945.872317
607.311375,677,3984.459405
49.617428,79,3989.728498
638.899667,701,4029.469124
1837.305963,1997,4142.03211
51.035138,75,4147.024021
872.14946,964,4201.646872
2058.05931,2289,4330.032289
59.228083,81,4335.41035
210.785662,251,4350.418365
186.314806,228,4363.884432
477.453345,522,4393.795954
56.920288,78,4398.891307
48.66161,82,4404.271217
617.205561,673,4442.643365
1026.676533,1117,4505.834933
745.341044,816,4552.347293
57.075685,88,4557.998924
189.777561,234,4571.859851
49.892408,74,4576.733262
237.553851,270,4592.558245
352.589183,399,4615.623485
888.157785,959,4670.036238
1022.861425,1132,4734.012032
259.092878,303,4751.78133
190.833185,234,4765.649415
331.147741,370,4787.176034
