# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.4491,-10.3244,0.7713,0.8088
-0.5476,-10.4318,0.7588,0.8588
-0.6583,-10.5267,0.7713,0.9587
-0.7794,-10.6077,0.8088,1.0588
-0.9085,-10.6755,0.8338,1.1462
-1.0436,-10.7304,0.9087,1.2588
-1.1832,-10.7723,0.9212,1.2837
-1.3262,-10.8004,1.0212,1.2837
-1.4714,-10.8129,1.0337,1.2463
-1.6170,-10.8070,1.0337,1.2212
-1.7603,-10.7804,1.0088,1.2837
-1.8982,-10.7335,0.9712,1.2337
-2.0285,-10.6681,0.9712,1.2337
-2.1498,-10.5873,0.9962,1.1462
-2.2617,-10.4939,1.0088,1.0588
-2.3646,-10.3906,1.0088,0.9587
-2.4591,-10.2796,1.0088,0.9087
-2.5466,-10.1629,0.9962,0.8712
-2.6281,-10.0420,0.9587,0.8712
-2.7050,-9.9181,0.9587,0.8213
-2.7784,-9.7920,0.9087,0.8338
-2.8493,-9.6646,0.9212,0.7963
-2.9190,-9.5365,0.8838,0.8338
-2.9880,-9.4080,0.8338,0.8088
-3.0563,-9.2791,0.7838,0.8463
-3.1234,-9.1497,0.8213,0.8463
-3.1893,-9.0196,0.8088,0.8463
-3.2536,-8.8887,0.8463,0.8213
-3.3160,-8.7569,0.8338,0.8588
-3.3764,-8.6241,0.8588,0.8962
-3.4343,-8.4903,0.8588,0.9212
-3.4897,-8.3554,0.8588,0.9212
-3.5422,-8.2193,0.8463,0.9587
-3.5916,-8.0821,0.8463,0.9587
-3.6378,-7.9438,0.8338,0.9962
-3.6806,-7.8044,0.8712,1.0462
-3.7199,-7.6639,0.8962,1.0588
-3.7552,-7.5224,0.8712,1.1087
-3.7862,-7.3799,0.8962,1.1712
-3.8124,-7.2365,0.9212,1.1838
-3.8333,-7.0922,0.9337,1.3088
-3.8483,-6.9471,0.8962,1.3462
-3.8568,-6.8015,0.8962,1.3838
-3.8579,-6.6557,0.9087,1.4212
-3.8510,-6.5101,0.8962,1.4338
-3.8351,-6.3651,0.9463,1.3713
-3.8095,-6.2216,0.9463,1.2588
-3.7734,-6.0803,0.9587,1.2087
-3.7267,-5.9422,0.9463,1.1462
-3.6707,-5.8076,0.9587,1.0962
-3.6065,-5.6766,0.9837,1.0588
-3.5358,-5.5491,0.9587,1.0088
-3.4595,-5.4248,0.9337,1.0088
-3.3788,-5.3033,0.9712,0.9463
-3.2948,-5.1841,0.9463,0.9463
-3.2082,-5.0668,0.9212,0.9463
-3.1198,-4.9508,0.9337,0.9337
-3.0304,-4.8356,0.9463,0.9337
-2.9406,-4.7207,0.9087,0.9587
-2.8510,-4.6056,0.9087,0.9337
-2.7625,-4.4897,0.9212,0.9337
-2.6757,-4.3725,0.9212,0.9087
-2.5913,-4.2536,0.9087,0.8712
-2.5093,-4.1330,0.8838,0.8962
-2.4297,-4.0108,0.8838,0.9087
-2.3526,-3.8870,0.8463,0.8838
-2.2778,-3.7618,0.8588,0.8838
-2.2053,-3.6352,0.8838,0.8588
-2.1350,-3.5075,0.9087,0.8338
-2.0669,-3.3785,0.8712,0.8213
-2.0008,-3.2485,0.9087,0.8338
-1.9366,-3.1176,0.8838,0.8463
-1.8741,-2.9858,0.9212,0.8588
-1.8134,-2.8532,0.9463,0.8588
-1.7541,-2.7200,0.9337,0.9087
-1.6963,-2.5861,0.9837,0.8712
-1.6398,-2.4516,0.9087,0.8712
-1.5847,-2.3166,0.8463,0.8712
-1.5314,-2.1809,0.8463,0.8712
-1.4799,-2.0444,0.7838,0.8712
-1.4305,-1.9072,0.7713,0.8588
-1.3834,-1.7692,0.7713,0.8463
