#{"t_start": 1789546536.2797108, "env_id": "None"}
r,l,t
-57.845005,18,3.295578
-55.691242,19,5.015338
-56.806224,32,7.52837
-59.26025,19,9.183986
-58.32,19,10.898415
-59.509505,20,12.63417
-56.82587,17,14.29724
-55.136794,20,16.066731
-58.912815,29,18.364969
-49.104092,32,20.917094
-54.042205,23,22.847718
-57.512708,16,24.45234
-57.284487,39,27.165649
-56.06542,25,29.167234
-51.505516,31,31.516924
-56.427846,17,33.137129
-53.053161,24,35.083305
-51.253356,28,37.416466
-54.890106,19,39.137327
-57.468473,25,41.135882
-55.178017,18,42.865551
-56.253832,21,44.634479
-50.250804,21,46.547501
-58.328781,15,48.035326
-58.407272,21,49.941871
-59.005257,20,51.684887
-55.830597,31,54.133592
-50.543741,47,57.448707
-54.197983,23,59.366381
-57.687913,14,60.836276
-58.444435,19,62.586842
-53.914902,28,64.786791
-55.281586,25,66.850044
-51.726706,33,69.334035
-49.180967,24,71.301082
-50.821495,23,73.335062
-50.863614,25,75.401181
-49.758584,22,77.283312
-57.467214,23,79.302386
-52.897276,26,81.386515
-57.927183,22,83.301316
-57.175952,16,84.817732
-59.327373,24,86.786615
-56.554807,16,88.417079
-57.560442,17,90.020274
-52.80242,24,92.017223
-57.686464,17,93.687741
-55.624711,33,96.187878
-57.78604,17,97.797813
-56.79918,20,99.602083
-55.865819,18,101.30001
-49.184706,36,104.020653
-56.581149,28,106.23626
-59.735924,20,108.047823
-55.660043,20,109.868476
-56.989157,28,112.03402
-55.985991,17,113.734833
-54.970782,20,115.634227
-55.987882,16,117.284659
-53.0716,28,119.557402
-56.46741,18,121.301336
-56.362135,20,123.119411
-54.507135,26,125.254636
-51.22342,38,128.067515
-53.225105,24,130.085893
-49.221354,34,132.583939
-54.906304,26,134.602745
-51.644547,30,137.002311
-49.318818,45,140.203403
-53.959802,54,144.001829
-50.569138,26,146.101503
-56.401179,20,147.949825
-52.413348,23,149.858635
-50.69179,21,151.686364
-54.577804,19,153.386451
-56.660945,19,155.085236
-56.4378,18,156.769253
-58.251193,16,158.33746
-57.338346,19,160.070905
-48.809788,24,162.086196
-51.894265,24,164.093325
-50.163456,40,166.936793
-53.962073,38,169.701504
-57.022951,20,171.403676
-51.446191,25,173.454915
-51.461348,47,176.685171
-58.470853,15,178.187278
-53.87672,24,180.190056
-55.414971,19,181.920764
-61.010292,26,184.036519
-50.253572,56,187.852796
-49.123715,21,189.75455
-57.972863,17,191.371497
-60.698987,19,193.086203
-54.09763,29,195.354705
-56.369222,22,197.186209
-56.102908,17,198.871636
-57.184579,13,200.287161
-61.27779,21,202.070023
-53.677173,49,205.367931
-59.371642,40,208.171371
-59.099897,18,209.805459
-54.770638,23,211.751535
-49.91149,24,213.738166
-56.979327,18,215.439143
-56.264936,18,217.104458
-56.508923,25,219.252269
-54.143898,26,221.358736
-56.821461,24,223.337883
-56.913806,16,224.921711
-54.352826,44,228.092258
-50.308226,22,230.004653
-59.9481,21,231.888024
-57.834934,21,233.756433
-50.276995,25,235.806944
-52.786605,23,237.755558
-53.81795,24,239.838618
-47.757307,21,241.706729
