#{"t_start": 1787588238.8745835, "env_id": "None"}
r,l,t
42.188408,78,714.95156
40.050958,69,719.726899
34.24355,82,725.251806
42.276807,62,729.744306
32.811101,71,734.63771
30.72567,66,739.238745
36.421983,73,744.382529
26.457781,76,749.715424
29.995568,61,754.329023
30.87295,59,758.540099
34.351816,74,763.520447
40.183453,67,768.143093
30.981859,62,772.509659
40.652963,67,777.514187
41.028925,74,782.519111
38.600527,68,787.286497
39.220812,75,792.397626
40.828321,66,797.048867
1.723527,36,800.002063
34.036155,61,804.295024
42.906274,61,808.514194
39.205812,66,813.137506
40.33044,74,818.03175
-5.246358,23,820.136254
33.655075,74,825.297499
43.914915,70,830.247675
44.293083,69,834.974581
41.040997,66,839.590431
40.169693,68,844.200363
41.560147,65,848.761491
40.069318,65,853.25152
40.698252,66,857.811941
35.526759,64,862.317781
41.844729,74,867.384641
44.313136,71,872.210162
-5.64389,22,874.264418
30.608547,58,878.451431
40.001016,82,883.86453
44.321012,71,888.757707
38.545388,71,893.700132
38.342971,71,898.59481
42.867614,70,903.487489
-0.883483,26,905.820552
31.204827,63,910.164469
46.610428,67,914.732671
23.880166,46,918.288151
15.003158,39,921.288314
8.831555,33,923.959886
21.134964,48,927.643916
35.87508,68,932.468295
39.575942,66,936.966583
41.851626,59,941.123563
42.045324,60,945.344616
40.852794,63,949.788328
39.409006,59,954.110517
12.265847,45,957.405124
-12.919347,17,959.123024
17.232114,42,962.35109
9.878464,34,965.016351
37.909384,69,969.653241
17.836806,40,972.85312
2.892291,29,975.44944
7.214585,34,978.284172
43.619222,61,982.563772
40.933927,65,987.005714
43.779541,61,991.274905
15.248586,43,994.442724
43.962909,60,998.723406
30.662952,59,1002.808263
33.464387,54,1006.71305
35.514115,56,1010.781029
45.694298,68,1015.390706
23.551837,49,1019.02126
42.573206,64,1023.532802
35.427883,61,1027.810389
25.947739,52,1031.544756
35.07565,66,1036.047581
36.256972,65,1040.553836
34.654499,61,1044.759784
44.093328,65,1049.31407
39.92789,58,1053.518825
17.694906,41,1056.740994
-13.858976,15,1058.476147
32.151102,62,1062.803967
-3.876406,20,1064.808446
38.898749,67,1069.366573
-5.797134,21,1071.312559
41.211898,65,1075.920088
34.77511,60,1080.236648
43.218911,61,1084.568563
38.538804,64,1089.261667
38.331056,67,1093.77688
41.012952,59,1098.09655
38.403913,60,1102.296347
39.73368,65,1106.803186
1.336864,28,1109.254308
9.607459,32,1111.99783
40.634613,60,1116.375355
-0.141614,33,1119.158631
45.213078,63,1123.546587
38.814793,63,1127.820477
42.448146,69,1132.505744
37.26934,66,1137.045625
37.058585,62,1141.483387
35.38971,70,1146.166371
39.986256,75,1151.198482
41.326134,69,1155.920934
37.819848,65,1160.522363
41.81767,61,1165.116656
35.57243,71,1170.088636
38.050564,68,1174.891385
42.135034,58,1179.034524
40.014503,64,1183.493268
43.91883,70,1188.16955
36.583309,63,1192.52264
47.21225,64,1196.971745
25.833176,50,1200.631223
42.027222,62,1205.169626
38.584398,67,1209.66901
39.409698,58,1213.994149
43.143184,73,1218.956173
43.638064,62,1223.587456
40.52022,61,1227.806841
40.73512,63,1232.132973
42.444779,66,1236.636633
45.376858,59,1240.857636
45.640333,63,1245.297378
37.844902,56,1249.527426
45.087446,65,1254.086404
43.273082,64,1258.640446
37.305124,60,1263.01985
30.714575,57,1267.12175
34.630382,66,1271.739974
45.869363,59,1276.174511
43.602767,71,1281.011715
34.033231,68,1285.635451
35.185402,79,1291.077622
33.8799,61,1295.249522
30.264476,71,1300.0778
44.783819,66,1304.64278
40.827978,61,1308.944758
46.2555,64,1313.339103
36.804372,59,1317.560051
42.64165,66,1322.06341
45.685794,59,1326.172761
39.988406,61,1330.7546
38.593803,60,1335.07254
42.057741,62,1339.340899
48.669117,66,1343.943783
39.680527,61,1348.246559
42.790068,59,1352.400601
43.613512,58,1356.558089
43.678521,57,1360.548792
41.232019,66,1365.114394
17.498465,38,1368.232519
42.595559,61,1372.458532
41.928351,68,1377.137635
42.332249,57,1381.365158
47.208436,62,1385.863556
35.704676,65,1390.501107
42.132841,69,1395.234805
42.931762,66,1399.884503
41.410653,65,1404.446625
36.470491,76,1409.749513
39.625316,64,1414.128306
42.379052,62,1418.404498
47.170168,60,1422.841928
43.154571,58,1426.944226
46.873251,65,1431.407819
45.643013,60,1435.682502
42.552996,62,1440.021101
42.838137,67,1444.523328
39.588011,61,1448.753997
42.778659,62,1453.12528
1.997965,27,1455.466429
42.859602,61,1459.742555
39.441419,59,1464.12133
39.616883,61,1468.34187
2.302751,30,1470.858747
42.05213,68,1475.512813
41.529188,63,1479.90757
47.020013,67,1484.462403
46.704836,69,1489.353537
42.206025,63,1493.679448
43.500257,59,1497.956734
45.47144,60,1502.222741
39.652805,63,1506.714462
37.985662,59,1511.116785
43.51295,62,1515.516012
42.629966,72,1520.618369
43.032101,61,1524.957994
43.995632,60,1529.23243
42.836056,63,1533.689659
37.045131,61,1537.957768
44.539536,56,1542.122449
45.071311,62,1546.352404
41.417474,62,1550.660802
39.76133,60,1555.021364
46.056322,59,1559.219429
44.033144,60,1563.505877
42.996013,65,1568.063688
44.470847,61,1572.402955
42.28079,65,1576.789146
39.69954,68,1581.412337
34.562065,62,1585.781279
46.305288,70,1590.546903
38.441209,65,1595.031759
45.268592,59,1599.189473
44.488746,59,1603.326512
45.96081,58,1607.643867
45.892364,58,1611.78862
38.904268,67,1616.363666
42.494108,66,1620.864481
49.476817,66,1625.40039
43.051387,62,1629.772996
45.617293,61,1633.952309
44.036317,60,1638.06487
40.258449,74,1643.012054
33.211678,64,1647.350306
43.912327,57,1651.514829
35.943971,56,1655.672049
43.430423,71,1660.567128
41.171614,65,1664.967235
42.770327,64,1669.354672
45.197466,60,1673.574588
46.318588,57,1677.787586
44.183818,58,1681.911536
43.941223,60,1686.255462
44.448436,57,1690.400679
44.179726,60,1694.677983
33.946747,60,1698.866992
44.17233,56,1703.06243
42.760918,57,1707.281843
44.848933,61,1711.516623
46.305496,64,1715.905297
40.761478,66,1720.387984
46.127924,61,1724.622337
45.260735,68,1729.399993
46.267538,57,1733.409609
42.635348,58,1737.671624
39.960813,67,1742.343436
44.792299,59,1746.523839
44.20881,58,1750.700874
44.89436,61,1755.080799
47.388277,62,1759.628509
43.946322,74,1764.764322
46.910008,68,1769.617627
39.526738,56,1773.594836
38.294293,66,1778.358705
44.322931,61,1782.695925
41.376268,61,1787.08853
48.919349,69,1791.809606
45.577033,60,1795.931667
39.971688,58,1800.194872
21.772469,52,1804.012189
44.56605,63,1808.386218
45.187167,62,1812.599008
44.154917,65,1817.2135
45.27111,62,1821.538906
45.247357,60,1825.670741
44.429606,58,1829.793789
48.171665,66,1834.409174
44.326165,62,1838.679122
45.263934,59,1842.912689
41.319741,63,1847.243696
44.044894,68,1851.859508
45.506684,68,1856.512677
43.849992,58,1860.614352
45.888112,56,1864.743234
43.375616,61,1869.068421
43.82111,62,1873.295375
50.43064,67,1878.008438
43.874304,64,1882.36198
45.641545,63,1886.754672
44.259425,62,1891.100529
50.281888,65,1895.606043
44.474842,60,1899.778769
48.368633,64,1904.247452
43.830317,62,1908.623194
41.468711,62,1913.008556
40.934322,61,1917.456628
45.453635,60,1921.614633
43.583852,66,1926.126489
48.548765,62,1930.72939
45.467155,62,1935.011381
44.553345,58,1939.137225
45.179383,63,1943.424685
43.870404,58,1947.596667
38.581193,58,1951.773107
42.718387,59,1956.086606
43.084974,61,1960.327454
43.410309,62,1964.652583
46.17709,59,1968.748221
46.685498,65,1973.343383
43.162019,64,1977.904522
43.22986,60,1982.137509
42.401165,62,1986.365521
43.147415,60,1990.59441
41.789292,64,1994.980748
33.547054,56,1998.988702
41.466616,61,2003.281494
45.864039,65,2008.037753
42.610426,64,2012.433951
41.33688,63,2016.866435
25.722188,52,2020.594165
3.299063,44,2024.034374
44.575721,59,2028.097687
43.129365,58,2032.296587
45.243198,60,2036.580399
48.791492,65,2041.168596
