lap,t,lap_time,collisions
1,19.44,22.461,0
2,28.94,9.493,0
3,38.53,9.660,0
4,48.07,9.535,0
5,57.62,9.567,0
6,67.36,9.659,0
7,76.90,9.605,0
8,89.37,12.521,2
end,91.55,,2
