lap,t,lap_time,collisions
1,18.82,21.717,0
2,28.45,9.603,0
3,38.05,9.602,0
4,47.62,9.567,0
5,57.28,9.591,0
6,66.76,9.541,0
7,76.38,9.564,0
8,85.98,9.588,0
end,97.11,,2
