#{"t_start": 1789823462.0595548, "env_id": "None"}
r,l,t
-27.804673,2,3.800881
2519.021172,5135,263.790402
2577.120167,5135,524.278951
2504.08482,5135,784.237686
2479.582368,5135,1042.579697
2623.555271,5135,1302.350907
2520.267635,5135,1560.472413
2539.891574,5135,1820.629033
2481.861383,5135,2080.253279
2524.689701,5135,2339.524367
2554.199055,5135,2599.167386
2479.944875,5135,2858.594032
2557.560478,5135,3118.928863
2531.287493,5135,3378.737026
2572.580822,5135,3638.197099
2508.507198,5135,3896.866124
2502.345955,5135,4155.823419
2496.34699,5135,4416.915074
2626.518397,5135,4676.420719
2568.60546,5135,4936.960245
1123.463926,2435,5062.237776
2547.333835,5135,5321.903475
2523.042964,5135,5581.227675
2512.370304,5135,5840.067472
2563.674627,5135,6099.658649
2563.525057,5135,6359.984565
1494.910304,3123,6517.506039
2505.081263,5135,6778.041465
2571.742047,5135,7038.252913
2540.092001,5135,7298.424528
2581.463365,5135,7559.41696
2492.333802,5135,7818.704325
2566.685178,5135,8079.680831
2519.264908,5135,8339.721755
73.947747,267,8354.269196
2541.123981,5135,8613.992621
2624.199868,5135,8874.564072
2588.186503,5135,9134.387847
2624.183472,5135,9394.262679
2563.856845,5135,9653.9047
2618.119463,5135,9914.543851
2551.39153,5135,10175.848224
2606.608411,5135,10436.224986
2546.105641,5135,10696.283446
2571.092121,5135,10955.54096
2534.208275,5135,11216.160969
2585.54028,5135,11475.167728
2569.607178,5135,11734.4761
2636.512368,5135,11994.38348
2614.732305,5135,12253.954385
2536.278565,5135,12514.881259
2560.023075,5135,12774.702674
2596.830011,5135,13033.380842
2621.117265,5135,13293.698323
2535.710005,5135,13552.013578
2613.185245,5135,13811.430757
2640.559187,5135,14069.902769
2399.663234,4707,14309.909687
2638.93693,5135,14569.668218
2627.944624,5135,14829.639446
2534.905628,5135,15091.549957
2628.194364,5135,15351.338594
2636.51242,5135,15611.913458
2674.250266,5135,15874.721448
2687.345278,5135,16138.460497
1004.966967,1979,16245.13918
2626.435245,5135,16514.489991
576.920506,1165,16575.192677
353.097042,660,16616.68391
2011.054618,3729,16824.419722
343.401347,466,16869.366168
1346.974675,2529,17001.984682
673.837316,1354,17078.321143
2332.702781,4203,17322.486921
2773.09953,5135,17589.979326
1563.605051,3087,17746.932975
106.43039,213,17766.538265
2708.355948,5135,18031.399973
2820.852825,5135,18311.417783
2709.37737,5059,18576.645164
2832.985691,5135,18851.804954
1734.428222,3224,19023.696323
258.138272,546,19054.585603
2660.770949,5135,19314.174485
2680.132586,5135,19577.64952
2618.13763,5135,19840.046843
878.580019,1702,19926.297776
1678.175937,3006,20105.591096
3029.063859,5134,20419.535628
62.744267,113,20430.913616
1987.929781,3568,20641.266856
2207.350163,3559,20872.265305
371.641239,718,20915.970336
547.546077,1055,20974.102996
2856.320997,5135,21262.495059
217.0417,418,21289.524938
1841.837079,3180,21485.437683
3044.010039,5135,21787.975337
2673.843591,5135,22051.982617
2578.048381,5135,22312.624117
2595.03891,5135,22572.712111
2581.810122,5135,22833.904439
2623.15997,5135,23093.561036
2659.116578,5135,23354.432762
2706.077315,5135,23614.93678
2538.592473,5135,23877.128485
840.382477,1699,23964.02976
2536.011341,5135,24223.971918
2551.752669,5135,24485.161785
2525.885085,5135,24745.101322
2626.65458,5135,25006.11132
2582.819173,5135,25266.467189
2516.232818,5135,25526.207399
2684.419945,5135,25787.24572
2552.167576,5135,26049.021009
2634.063942,5135,26308.930424
198.550459,432,26331.677471
2438.461015,5018,26587.168351
2552.916363,5135,26847.443442
2522.087383,5135,27107.866089
191.101866,420,27130.047515
2550.743293,5135,27388.943288
2578.505915,5135,27651.133196
2471.783879,5135,27910.453238
2590.186006,5135,28170.861997
2646.614348,5135,28430.918845
2587.809464,5135,28691.776368
2540.272395,5135,28951.700447
2559.495176,5135,29210.807613
2642.965247,5135,29471.626724
811.141655,1729,29560.749016
2541.123053,5135,29820.922719
2708.221979,5135,30081.527859
2594.294961,5135,30341.306755
2561.361171,5135,30599.791035
2551.490105,5135,30860.782602
2526.803097,5135,31121.369704
1951.511204,3993,31323.376162
37.753252,124,31330.542677
803.931401,1810,31423.577988
194.056083,459,31447.726794
491.734615,1116,31505.013653
2514.873113,5135,31765.33701
2581.098133,5135,32025.198345
1442.791894,2982,32176.762464
2516.404728,5135,32436.02225
1898.078429,3918,32634.711587
2562.773735,5135,32895.567328
2554.386681,5135,33154.429569
2657.385226,5135,33415.26276
2505.361158,5135,33674.939054
2532.649737,5135,33936.632174
2585.453567,5135,34197.168967
2494.966469,5135,34458.891143
2521.139127,5135,34719.282022
2575.666126,5135,34977.842985
2602.79195,5135,35239.215091
2556.166545,5135,35499.57239
2735.545898,5135,35761.444882
443.385,992,35812.561656
2630.867807,5135,36074.707277
1892.090449,3924,36273.672599
2612.304852,5135,36534.218238
2639.023823,5135,36793.557105
2560.667902,5135,37054.379489
1474.039754,3034,37208.930824
2608.13506,5135,37469.273094
1576.840099,3199,37632.044388
2665.888815,5135,37892.169858
2641.503476,5135,38151.859647
2703.629214,5135,38413.462109
2642.699314,5135,38673.218977
2627.130331,5135,38934.296658
443.587411,944,38982.746936
2684.554129,5135,39243.174779
2732.317249,5135,39503.509429
2720.232293,5135,39764.234791
2635.60638,5135,40024.52893
2128.498093,4240,40239.91727
2657.476468,5135,40499.9254
2701.697764,5135,40759.577954
2632.013379,5135,41021.168061
189.151874,408,41043.850012
2756.29629,5135,41303.893066
1902.925527,3614,41487.528981
2709.191743,5135,41748.41925
123.017895,335,41766.037845
2712.562335,5135,42024.891676
2786.475668,5135,42286.964474
2737.505315,5135,42547.240562
2756.223522,5135,42808.266227
2777.982241,5135,43068.187408
2768.151663,5135,43328.896767
2777.131295,5135,43589.802245
2729.141484,5135,43849.743507
874.365167,1751,43939.759458
2786.141058,5135,44201.071251
2735.4043,5135,44461.826002
2774.408511,5135,44722.632034
2737.290675,5135,44982.459929
2821.524444,5135,45242.06219
2799.403171,5135,45501.666826
2767.943838,5135,45762.295356
1432.232716,2681,45899.429084
