x,y,v,kappa,steer_deg
0.83501,-9.39885,8.00000,0.00037,0.00693
0.83746,-9.51760,8.00000,0.00037,0.00678
0.83992,-9.63634,8.00000,0.00036,0.00662
0.84238,-9.75507,8.00000,0.00035,0.00647
0.84484,-9.87379,8.00000,0.00034,0.00631
0.84731,-9.99251,8.00000,0.00033,0.00616
0.84978,-10.11123,8.00000,0.00032,0.00600
0.85226,-10.22994,8.00000,0.00031,0.00585
0.85474,-10.34864,8.00000,0.00031,0.00569
0.85723,-10.46734,8.00000,0.00030,0.00553
0.85972,-10.58603,8.00000,0.00029,0.00538
0.86222,-10.70472,8.00000,0.00028,0.00522
0.86471,-10.82341,8.00000,0.00027,0.00507
0.86722,-10.94210,8.00000,0.00026,0.00491
0.86972,-11.06078,8.00000,0.00026,0.00476
0.87223,-11.17946,8.00000,0.00025,0.00460
0.87475,-11.29815,8.00000,0.00024,0.00445
0.87726,-11.41683,7.96578,0.00023,0.00429
0.87978,-11.53552,7.84565,0.00022,0.00414
0.88231,-11.65421,7.72365,0.00021,0.00398
0.88483,-11.77291,7.59968,0.00021,0.00383
0.88736,-11.89161,7.47365,0.00020,0.00367
0.88989,-12.01032,7.34545,0.00019,0.00352
0.89243,-12.12904,7.21496,0.00018,0.00336
0.89497,-12.24777,7.08206,0.00017,0.00320
0.89751,-12.36651,6.94660,0.00016,0.00305
0.90005,-12.48527,6.80843,0.00016,0.00289
0.90260,-12.60404,6.66738,0.00015,0.00274
0.90514,-12.72284,6.52325,0.00014,0.00258
0.90770,-12.84165,6.37584,0.00013,0.00242
0.91025,-12.96049,6.22491,0.00012,0.00227
0.91280,-13.07936,6.07019,0.00011,0.00211
0.91536,-13.19826,5.91136,0.00011,0.00196
0.91792,-13.31721,5.74810,0.00010,0.00180
0.92048,-13.43620,5.58000,0.00009,0.00164
0.92305,-13.55522,5.40663,0.00008,0.00148
0.92561,-13.67427,5.22747,0.00007,0.00133
0.92818,-13.79335,5.04188,0.00006,0.00117
0.93075,-13.91254,4.84903,0.00005,0.00101
0.93332,-14.03155,4.64849,0.00005,0.00085
0.93590,-14.15091,4.43828,0.00004,0.00069
0.93848,-14.27056,4.21705,0.00003,0.00050
0.94102,-14.38801,3.98797,0.00001,0.00012
0.94345,-14.50077,3.75490,-0.00004,-0.00070
0.94576,-14.60769,3.51969,-0.00009,-0.00171
0.94809,-14.71557,3.26523,-0.00016,-0.00290
0.95060,-14.83187,2.96656,-0.00023,-0.00419
0.95309,-14.94750,2.63627,-0.00050,-0.00920
0.95540,-15.05549,2.28510,-0.00329,-0.06105
0.95755,-15.15702,1.89661,-0.03136,-0.58219
0.95878,-15.22397,1.62711,-1.04921,-18.77515
0.95767,-15.25036,1.50000,-0.90432,-16.33056
0.95719,-15.25788,1.50000,61.11954,87.10913
0.96485,-15.26926,1.50000,5.86296,62.23646
0.97685,-15.28380,1.50000,9.83312,72.57396
0.99848,-15.30021,1.50000,1.61851,27.67235
1.08703,-15.34801,1.50000,1.53617,26.46036
1.13303,-15.36558,1.50000,-10.87179,-74.15115
1.12886,-15.36684,1.50000,120.53975,88.53326
1.13679,-15.38214,1.50000,14.62085,78.08003
1.20666,-15.39156,1.50000,5.54494,60.89885
1.30556,-15.35540,1.50000,0.34911,6.45335
1.40567,-15.31451,1.82267,0.24688,4.57331
1.50329,-15.27159,2.09248,0.28323,5.24307
1.59313,-15.22891,2.31337,0.31530,5.83288
1.66939,-15.18990,2.48468,0.29356,5.43323
1.72350,-15.16069,2.59997,0.22810,4.22667
1.75564,-15.14283,2.66743,0.22747,4.21510
1.79949,-15.11789,2.75698,0.18813,3.48814
1.82440,-15.10346,2.80724,0.08852,1.64285
1.83124,-15.09947,2.82119,0.12446,2.30926
1.84633,-15.09064,2.85160,0.18032,3.34371
1.87758,-15.07212,2.91271,0.30971,5.73029
1.94163,-15.03244,3.02675,0.43749,8.06777
2.00823,-14.98797,3.12365,0.43778,8.07311
2.06523,-14.94713,3.20150,0.43832,8.08290
2.14099,-14.88845,3.29920,0.49183,9.05418
2.22761,-14.81384,3.37654,0.49688,9.14551
2.31468,-14.72949,3.43518,0.44962,8.28840
2.39809,-14.63931,3.51767,0.38138,7.04411
2.47676,-14.54584,3.62333,0.30957,5.72757
2.55139,-14.45008,3.74455,0.24047,4.45513
2.62278,-14.35277,3.87555,0.17484,3.24225
2.69169,-14.25456,4.01231,0.11212,2.08052
2.75871,-14.15628,4.15128,0.05189,0.96312
2.82461,-14.05835,4.28955,-0.00623,-0.11575
2.89006,-13.96125,4.42392,-0.06283,-1.16629
2.95582,-13.86520,4.55087,-0.11842,-2.19733
3.02259,-13.77051,4.66560,-0.17168,-3.18380
3.09076,-13.67778,4.76111,-0.21222,-3.93348
3.16113,-13.58680,4.83276,-0.22485,-4.16678
3.23405,-13.49742,4.89014,-0.22391,-4.14936
3.30927,-13.40992,4.94309,-0.21149,-3.91999
3.38687,-13.32400,5.00225,-0.17657,-3.27422
3.46672,-13.23916,5.08042,-0.13122,-2.43447
3.54831,-13.15507,5.17473,-0.08385,-1.55614
3.63113,-13.07140,5.05164,-0.03573,-0.66318
3.71463,-12.98773,4.86110,0.01303,0.24186
3.79830,-12.90364,4.66706,0.06232,1.15682
3.88163,-12.81865,4.47385,0.11211,2.08025
3.96405,-12.73230,4.28460,0.16239,3.01187
4.04504,-12.64408,4.10143,0.21324,3.95223
4.12399,-12.55356,3.92609,0.26502,4.90777
4.20032,-12.46017,3.76027,0.31863,5.89418
4.27368,-12.36300,3.60549,0.37424,6.91356
4.34307,-12.26178,3.46477,0.43090,7.94777
4.40731,-12.15651,3.34183,0.48655,8.95852
4.46496,-12.04793,3.24029,0.53746,9.87824
4.51449,-11.93780,3.16231,0.57961,10.63593
4.55494,-11.82832,3.10483,0.61072,11.19269
4.58607,-11.72182,3.06373,0.63267,11.58425
4.60859,-11.61921,3.01651,0.64970,11.88732
4.62341,-11.52089,2.95542,0.66862,12.22335
4.63146,-11.42597,2.89463,0.69632,12.71358
4.63322,-11.33182,2.89463,0.71609,13.06219
4.62863,-11.23762,2.89463,0.69815,12.74580
4.61763,-11.14246,2.93120,0.67266,12.29488
4.59953,-11.04353,2.97693,0.65574,11.99467
4.57317,-10.93992,3.02129,0.63815,11.68187
4.53779,-10.83285,3.06569,0.61162,11.20883
4.49319,-10.72420,3.12010,0.57466,10.54717
4.43987,-10.61600,3.18921,0.52880,9.72213
4.37878,-10.50981,3.27323,0.47636,8.77380
4.31144,-10.40713,3.37041,0.42022,7.75319
4.23924,-10.30851,3.47853,0.36371,6.72081
4.16308,-10.21360,3.59545,0.30835,5.70523
4.08382,-10.12207,3.71917,0.25413,4.70695
4.00221,-10.03347,3.84817,0.20089,3.72396
3.91903,-9.94743,3.98092,0.14864,2.75716
3.83482,-9.86336,4.11608,0.09740,1.80756
3.74964,-9.78027,4.25278,0.04679,0.86850
3.66403,-9.69768,4.38905,-0.00360,-0.06677
3.57873,-9.61532,4.52211,-0.05358,-0.99456
3.49428,-9.53275,4.64873,-0.10273,-1.90639
3.41148,-9.44980,4.59169,-0.15088,-2.79860
3.33076,-9.36604,4.43485,-0.19805,-3.67151
3.25247,-9.28096,4.29463,-0.24391,-4.51855
3.17737,-9.19462,4.17685,-0.28836,-5.33759
3.10590,-9.10681,4.09183,-0.33028,-6.10794
3.03834,-9.01716,4.09183,-0.35836,-6.62282
2.97489,-8.92556,4.09183,-0.35628,-6.58483
2.91533,-8.83184,4.10638,-0.34166,-6.31679
2.85954,-8.73624,4.14386,-0.32632,-6.03537
2.80735,-8.63892,4.19123,-0.31224,-5.77663
2.75844,-8.53964,4.24441,-0.29942,-5.54106
2.71266,-8.43836,4.30137,-0.28762,-5.32389
2.66987,-8.33497,4.36104,-0.27708,-5.12987
2.62978,-8.22886,4.42279,-0.26786,-4.95999
2.59225,-8.11947,4.48604,-0.25896,-4.79610
2.55737,-8.00687,4.55068,-0.24918,-4.61564
2.52539,-7.89163,4.61724,-0.23800,-4.40953
2.49643,-7.77438,4.68653,-0.22555,-4.17956
2.47054,-7.65573,4.75907,-0.21195,-3.92842
2.44772,-7.53647,4.83500,-0.19755,-3.66234
2.42783,-7.41717,4.91420,-0.18300,-3.39328
2.41065,-7.29787,4.99645,-0.16874,-3.12938
2.39592,-7.17850,5.08144,-0.15472,-2.86983
2.38345,-7.05919,5.16875,-0.14080,-2.61195
2.37303,-6.94012,5.25806,-0.12702,-2.35662
2.36444,-6.82127,5.34915,-0.11345,-2.10506
2.35747,-6.70259,5.44180,-0.10007,-1.85697
2.35192,-6.58403,5.53581,-0.08684,-1.61167
2.34760,-6.46551,5.63100,-0.07372,-1.36834
2.34432,-6.34697,5.72716,-0.06067,-1.12605
2.34188,-6.22835,5.82405,-0.04763,-0.88406
2.34012,-6.10962,5.92142,-0.03492,-0.64814
2.33884,-5.99073,6.01890,-0.02491,-0.46243
2.33792,-5.87169,6.11588,-0.02104,-0.39049
2.33730,-5.75252,6.21172,-0.01988,-0.36907
2.33695,-5.63325,6.30622,-0.01906,-0.35383
2.33688,-5.51393,6.39938,-0.01823,-0.33842
2.33707,-5.39461,6.49122,-0.01739,-0.32287
2.33750,-5.27536,6.58176,-0.01655,-0.30721
