lap,t,lap_time,collisions
1,15.98,35.13,0
2,24.93,8.97,0
3,33.9,8.95,0
4,72.18,38.27,1
5,95.23,23.07,0
6,104.3,9.07,0
7,113.44,9.14,0
8,122.41,8.96,0
9,131.47,9.07,0
10,140.49,9.02,0
11,156.08,15.59,0
