#{"t_start": 1789661229.6896923, "env_id": "None"}
r,l,t
-46.195617,7,4.206142
2224.365892,5149,266.472104
2313.506546,5149,535.380295
2292.96625,5149,804.423253
2280.382542,5149,1069.986805
2639.989792,5149,1364.390167
1617.393641,3004,1557.124266
1013.08491,1997,1677.87681
2601.437346,5149,1979.450417
2427.224013,5149,2260.783193
2650.729313,5149,2566.190115
2789.044779,5149,2882.959625
76.654443,165,2897.587758
2342.562082,5149,3166.269336
2266.55481,5149,3428.846156
2371.148384,5149,3698.76089
2637.042473,5149,4001.315625
2791.746606,5149,4320.188122
2498.403422,5149,4608.464237
2764.479293,5149,4924.334552
2614.883231,5149,5222.756492
881.937517,1613,5327.216967
2608.925339,5149,5619.025774
2722.626298,5149,5922.316216
2861.310541,5149,6241.386456
2805.610642,5149,6545.172889
2766.612477,5149,6848.720036
3080.86536,5149,7195.516193
1847.734061,3598,7405.835946
2557.265233,5149,7682.775802
2943.807433,5149,8000.383403
1284.845779,2488,8148.342524
2966.652505,5149,8467.817277
2495.126342,5149,8747.601743
2725.793111,5149,9054.476566
2923.982404,5149,9373.916132
2981.034397,5149,9687.773026
2960.223202,5149,10001.802394
646.061834,1120,10076.130002
2853.35469,5149,10386.286111
2984.010221,5149,10700.948297
2459.773775,5149,10962.274766
2479.505784,5149,11224.916527
2414.851215,5149,11486.853371
2436.244891,5149,11750.261027
2443.193469,5149,12013.053813
2448.66675,5149,12273.861731
2420.109322,5149,12535.164984
2461.717555,5149,12796.824617
2415.926752,5149,13059.232797
2472.697261,5149,13320.803249
2497.580632,5149,13582.547267
2491.396904,5149,13844.470258
2564.455714,5149,14105.794053
2437.05816,5149,14368.281198
2527.917716,5149,14630.956388
2520.096563,5149,14893.611883
2508.139821,5149,15156.370079
2477.009475,5149,15416.697824
2525.498103,5149,15679.067228
2510.923426,5149,15940.390435
2529.516256,5149,16203.13198
2534.991916,5149,16465.706552
2552.567395,5149,16728.613364
2604.143041,5149,16990.755041
2538.997986,5149,17251.60919
2490.627567,5149,17513.280363
2512.795135,5149,17774.053022
2517.545967,5149,18036.042809
2605.950787,5149,18299.017628
2554.272065,5149,18561.594799
2567.6027,5149,18825.81725
2591.027299,5149,19088.741111
2541.156122,5149,19350.915871
2530.371431,5149,19613.773946
2473.94151,5149,19875.178853
2495.056576,5149,20138.403885
2468.476651,5149,20399.640846
2431.788014,5149,20663.062457
2403.473155,5149,20926.204807
2431.507409,5149,21187.896719
2416.161112,5149,21450.551101
2228.273481,4984,21705.412342
2392.828464,5149,21969.584281
772.543045,1861,22065.235512
2337.422865,5149,22326.865794
2331.603478,5149,22591.553023
2271.730614,5149,22854.023817
2263.449017,5149,23115.880801
2240.967768,5149,23378.038047
2320.085161,5149,23640.312296
2282.24253,5149,23903.30313
2313.339858,5149,24165.971656
2298.613899,5149,24429.795321
2345.531632,5149,24691.909033
2387.885176,5149,24954.143298
2278.496331,5149,25216.286762
2302.785039,5149,25478.709948
2321.898589,5149,25740.799186
2321.88209,5149,26002.221729
2354.52187,5149,26264.751924
2289.333106,5149,26526.83571
2388.602262,5149,26788.562577
2350.70017,5149,27051.636751
2336.957892,5149,27312.873007
2337.059347,5149,27574.862982
2346.485558,5149,27836.440188
2340.094655,5149,28099.495095
2343.332994,5149,28361.686758
2358.464041,5149,28623.560375
2426.410012,5149,28887.235742
2467.094347,5149,29149.773897
2401.565038,5149,29413.097451
2427.929138,5149,29675.657641
2366.114307,5149,29937.195305
2476.335226,5149,30200.549874
2474.081346,5149,30463.006871
2470.201875,5149,30726.013299
305.987764,773,30766.469236
2467.913581,5149,31028.369144
2526.909285,5149,31291.412268
2538.586618,5149,31554.756872
2479.427016,5149,31817.428597
