lap,t,lap_time,collisions
1,19.10,22.135,0
2,28.63,9.581,0
3,38.26,9.634,0
4,47.78,9.498,0
5,57.53,9.694,0
6,67.18,9.699,0
7,76.75,9.596,0
8,86.51,9.668,0
9,96.06,9.627,0
10,105.61,9.573,0
11,115.14,9.490,0
12,124.65,9.476,0
13,134.45,9.787,0
14,144.04,9.601,0
15,153.58,9.589,0
16,163.30,9.739,0
17,172.87,9.465,0
18,182.30,9.521,0
19,191.99,9.708,0
20,201.50,9.544,0
21,211.18,9.579,0
end,219.26,,2
