0.000000,0.710410,3.160664,-1.788096,0.122650,0.583614,0.797646,3.711746
0.103588,0.688077,3.059511,-1.775368,0.180379,0.561579,0.819671,3.873514
0.206817,0.668399,2.958175,-1.750692,0.232362,0.539446,0.835554,4.028762
0.309385,0.651257,2.857050,-1.727523,0.220303,0.524235,0.850765,4.176269
0.411319,0.636481,2.756192,-1.705675,0.209293,0.510270,0.864730,4.316924
0.512848,0.623899,2.655446,-1.684978,0.199344,0.497738,0.877262,4.451731
0.614062,0.613383,2.554780,-1.665276,0.190573,0.486668,0.888332,4.581362
0.715021,0.604827,2.454184,-1.646458,0.182731,0.477084,0.897916,4.706351
0.815746,0.598138,2.353682,-1.628429,0.175682,0.468966,0.906034,4.827116
0.916268,0.593235,2.253279,-1.611110,0.169238,0.462323,0.912677,4.944028
1.016631,0.590042,2.152967,-1.594437,0.163320,0.463380,0.911620,5.057425
1.116850,0.588494,2.052760,-1.578353,0.157915,0.459613,0.915387,5.167578
1.216920,0.588529,1.952690,-1.562809,0.152943,0.457271,0.917729,5.274702
1.316852,0.590091,1.852770,-1.547766,0.077968,0.459360,0.912380,5.379007
1.416665,0.593129,1.753004,-1.547254,-0.061633,0.438136,0.911864,5.480688
1.516332,0.594787,1.653351,-1.560080,-0.109480,0.443538,0.912702,5.579876
1.615861,0.595263,1.553823,-1.569051,-0.062916,0.441630,0.908360,5.676723
1.715372,0.595134,1.454312,-1.572596,-0.020652,0.439277,0.910713,5.771472
1.814897,0.594905,1.354787,-1.573161,-0.003086,0.443213,0.906777,5.864265
1.914401,0.594664,1.255283,-1.573210,-0.000227,0.441028,0.908962,5.955169
2.013907,0.594425,1.155777,-1.573206,-0.000113,0.439004,0.898966,6.044301
2.113417,0.594184,1.056268,-1.573232,-0.000282,0.437108,0.887882,6.131744
2.212908,0.593940,0.956777,-1.573263,-0.000272,0.441608,0.883392,6.217561
2.312412,0.593693,0.857273,-1.573286,-0.000205,0.452475,0.885005,6.301849
2.411911,0.593445,0.757774,-1.573303,-0.000154,0.463510,0.886490,6.384663
2.511416,0.593194,0.658270,-1.573317,-0.000133,0.462173,0.887827,6.466072
2.610924,0.592943,0.558762,-1.573330,-0.000124,0.460954,0.889046,6.546135
2.710409,0.592690,0.459278,-1.573342,-0.000116,0.466124,0.883876,6.624882
2.809911,0.592436,0.359776,-1.573353,-0.000111,0.465182,0.884818,6.702400
2.909431,0.592181,0.260257,-1.573364,-0.000109,0.464359,0.885641,6.778733
