# x_m,y_m,w_tr_right_m,w_tr_left_m,s_m,kappa_radpm
0.3194,4.6442,2.2200,0.1900,10.2000,-0.4901
0.3104,4.7438,2.2200,0.1800,10.3000,-0.5552
0.3069,4.8437,2.2400,0.1700,10.4000,-0.6932
0.3104,4.9436,2.2700,0.1800,10.5000,-0.8992
0.3228,5.0428,2.3700,0.1900,10.6000,-1.1611
0.3465,5.1399,2.5500,0.2200,10.7000,-1.4714
0.3841,5.2324,2.9700,0.2800,10.8000,-1.7493
0.4372,5.3170,3.0000,0.3400,10.9000,-1.9305
0.5053,5.3899,3.0000,0.3400,11.0000,-1.9570
0.5862,5.4484,3.0000,0.2600,11.1000,-1.7301
0.6759,5.4922,2.2200,0.2200,11.2000,-1.4645
0.7711,5.5225,2.9700,0.1800,11.3000,-1.1936
0.8693,5.5413,3.0000,0.1600,11.4000,-0.9735
0.9688,5.5506,3.0000,0.1400,11.5000,-0.8369
1.0687,5.5515,3.0000,0.1400,11.6000,-0.7672
1.1685,5.5447,3.0000,0.1500,11.7000,-0.7528
1.2674,5.5305,3.0000,0.1700,11.8000,-0.7555
1.3650,5.5088,3.0000,0.1900,11.9000,-0.7253
1.4608,5.4802,3.0000,0.2300,12.0000,-0.7353
1.5542,5.4446,3.0000,0.2500,12.1000,-0.7402
1.6448,5.4022,3.0000,0.3000,12.2000,-0.7491
1.7319,5.3532,3.0000,0.3700,12.3000,-0.7609
1.8150,5.2976,2.8700,0.4300,12.4000,-0.7662
1.8936,5.2359,2.7200,0.4400,12.5000,-0.7661
1.9673,5.1684,2.6100,0.3900,12.6000,-0.7576
2.0357,5.0955,2.5200,0.3500,12.7000,-0.7399
2.0986,5.0177,2.4600,0.3100,12.8000,-0.7134
2.1557,4.9357,2.4100,0.3000,12.9000,-0.6777
2.2071,4.8500,2.3700,0.3000,13.0000,-0.6333
2.2531,4.7611,2.3500,0.3000,13.1000,-0.5807
2.2938,4.6698,2.3400,0.3000,13.2000,-0.5208
2.3297,4.5765,2.3300,0.3100,13.3000,-0.4547
2.3613,4.4816,2.3300,0.3300,13.4000,-0.3839
2.3893,4.3856,2.3400,0.3500,13.5000,-0.3101
2.4142,4.2888,2.3500,0.3700,13.6000,-0.2349
2.4369,4.1914,2.3600,0.4000,13.7000,-0.1601
2.4580,4.0937,2.3800,0.4300,13.8000,-0.0871
2.4783,3.9958,0.9600,0.4600,13.9000,-0.0175
2.4984,3.8978,0.9300,0.4900,14.0000,0.0473
2.5190,3.7999,0.9100,0.4900,14.1000,0.1063
2.5406,3.7023,0.8800,0.5200,14.2000,0.1588
2.5638,3.6050,0.8400,0.5500,14.3000,0.2041
2.5889,3.5082,0.8100,0.5600,14.4000,0.2422
2.6164,3.4121,0.7900,0.5600,14.5000,0.2731
2.6465,3.3167,0.7800,0.5800,14.6000,0.2971
2.6794,3.2223,0.7700,0.5800,14.7000,0.3148
2.7152,3.1290,0.7600,0.6000,14.8000,0.3269
2.7541,3.0368,0.7600,0.6000,14.9000,0.3342
2.7961,2.9461,0.7400,0.6100,15.0000,0.3375
2.8411,2.8568,0.7400,0.6000,15.1000,0.3377
2.8890,2.7690,0.7500,0.6100,15.2000,0.3356
2.9399,2.6830,0.7700,0.6000,15.3000,0.3321
2.9936,2.5986,0.7600,0.6100,15.4000,0.3278
3.0501,2.5161,0.7600,0.6200,15.5000,0.3234
3.1092,2.4354,0.7200,0.6400,15.6000,0.3192
3.1708,2.3567,0.7200,0.6500,15.7000,0.3157
3.2349,2.2799,0.7000,0.6500,15.8000,0.3128
3.3014,2.2052,0.7000,0.6500,15.9000,0.3107
3.3701,2.1326,0.6900,0.6600,16.0000,0.3090
3.4411,2.0621,0.7000,0.6600,16.1000,0.3076
3.5142,1.9939,0.7200,0.6500,16.2000,0.3058
3.5893,1.9279,0.7200,0.6500,16.3000,0.3031
3.6664,1.8643,0.7300,0.6200,16.4000,0.2986
3.7454,1.8029,0.7500,0.6200,16.5000,0.2915
3.8261,1.7439,0.7700,0.6100,16.6000,0.2810
3.9085,1.6872,0.7900,0.5800,16.7000,0.2656
3.9923,1.6327,0.8100,0.5800,16.8000,0.2449
4.0774,1.5802,0.8500,0.5400,16.9000,0.2169
4.1637,1.5296,0.8700,0.5300,17.0000,0.1881
4.2509,1.4807,0.9200,0.5000,17.1000,0.1502
4.3388,1.4330,0.9400,0.4700,17.2000,0.1025
4.4272,1.3863,0.9700,0.4300,17.3000,0.0772
4.5160,1.3402,1.0000,0.4000,17.4000,-0.0074
4.6047,1.2941,1.0300,0.3700,17.5000,-0.0699
4.6931,1.2474,1.0800,0.3400,17.6000,-0.1522
4.7808,1.1993,3.0000,0.3100,17.7000,-0.1519
4.8677,1.1499,3.0000,0.2800,17.8000,-0.2534
4.9534,1.0983,3.0000,0.2600,17.9000,-0.3646
5.0371,1.0436,3.0000,0.2400,18.0000,-0.3440
5.0917,1.0056,3.0000,0.2300,18.1000,-0.5590
5.1708,0.9446,3.0000,0.2100,18.2000,-0.5131
5.2468,0.8795,3.0000,0.1900,18.3000,-0.5179
