# x_m,y_m,w_tr_right_m,w_tr_left_m,s_m,kappa_radpm
0.7936,-13.5810,0.6800,0.6600,44.3000,0.1651
0.8000,-13.4812,0.6800,0.6700,44.4000,0.1456
0.8050,-13.3813,0.6700,0.6700,44.5000,0.1258
0.8087,-13.2814,0.6700,0.6700,44.6000,0.1065
0.8113,-13.1814,0.6600,0.6800,44.7000,0.0880
0.8131,-13.0814,0.6600,0.6800,44.8000,0.0710
0.8142,-12.9815,0.6600,0.6800,44.9000,0.0556
0.8147,-12.8815,0.6600,0.6800,45.0000,0.0420
0.8147,-12.7815,0.6600,0.6800,45.1000,0.0304
0.8145,-12.6815,0.6600,0.6800,45.2000,0.0207
0.8141,-12.5815,0.6600,0.6800,45.3000,0.0128
0.8135,-12.4815,0.6600,0.6800,45.4000,0.0066
0.8129,-12.3815,0.6600,0.6800,45.5000,0.0019
0.8123,-12.2815,0.6600,0.6800,45.6000,-0.0016
0.8116,-12.1815,0.6600,0.6800,45.7000,-0.0040
0.8111,-12.0815,0.6600,0.6800,45.8000,-0.0056
0.8105,-11.9815,0.6600,0.6800,45.9000,-0.0065
0.8101,-11.8815,0.6600,0.6800,46.0000,-0.0069
0.8097,-11.7815,0.6600,0.6800,46.1000,-0.0069
0.8093,-11.6815,0.6600,0.6800,46.2000,-0.0066
0.8091,-11.5815,0.6700,0.6700,46.3000,-0.0062
0.8089,-11.4815,0.6700,0.6700,46.4000,-0.0057
0.8087,-11.3815,0.6700,0.6700,46.5000,-0.0050
0.8087,-11.2815,0.6700,0.6700,46.6000,-0.0044
0.8086,-11.1815,0.6700,0.6700,46.7000,-0.0038
0.8086,-11.0815,0.6700,0.6700,46.8000,-0.0032
0.8086,-10.9815,0.6700,0.6700,46.9000,-0.0026
0.8087,-10.8815,0.6700,0.6700,47.0000,-0.0020
0.8087,-10.7815,0.6700,0.6700,47.1000,-0.0015
0.8088,-10.6815,0.6700,0.6700,47.2000,-0.0010
0.8089,-10.5815,0.6700,0.6700,47.3000,-0.0005
0.8090,-10.4815,0.6700,0.6700,47.4000,-0.0001
0.8091,-10.3815,0.6700,0.6700,47.5000,0.0003
0.8092,-10.2815,0.6700,0.6700,47.6000,0.0006
0.8093,-10.1815,0.6600,0.6800,47.7000,0.0009
0.8094,-10.0815,0.6600,0.6800,47.8000,0.0011
0.8095,-9.9815,0.6600,0.6800,47.9000,0.0013
0.8095,-9.8815,0.6600,0.6800,48.0000,0.0015
0.8096,-9.7815,0.6600,0.6800,48.1000,0.0016
0.8096,-9.6815,0.6600,0.6800,48.2000,0.0017
0.8096,-9.5815,0.6600,0.6800,48.3000,0.0017
0.8096,-9.4815,0.6600,0.6800,48.4000,0.0017
0.8096,-9.3815,0.6600,0.6800,48.5000,0.0017
0.8095,-9.2815,0.6600,0.6800,48.6000,0.0016
0.8095,-9.1815,0.6600,0.6800,48.7000,0.0015
0.8094,-9.0815,0.6600,0.6800,48.8000,0.0014
0.8093,-8.9815,0.6600,0.6800,48.9000,0.0012
0.8092,-8.8815,0.6700,0.6700,49.0000,0.0010
0.8091,-8.7815,0.6700,0.6700,49.1000,0.0008
0.8090,-8.6815,0.6700,0.6700,49.2000,0.0005
0.8089,-8.5815,0.6700,0.6700,49.3000,0.0001
0.8087,-8.4815,0.6700,0.6700,49.4000,-0.0003
0.8086,-8.3815,0.6700,0.6700,49.5000,-0.0008
0.8085,-8.2815,0.6700,0.6700,49.6000,-0.0013
0.8084,-8.1815,0.6700,0.6700,49.7000,-0.0019
0.8083,-8.0815,0.6700,0.6700,49.8000,-0.0026
0.8083,-7.9815,0.6700,0.6700,49.9000,-0.0034
0.8083,-7.8815,0.6700,0.6700,50.0000,-0.0042
0.8083,-7.7815,0.6700,0.6700,50.1000,-0.0050
0.8084,-7.6815,0.6700,0.6700,50.2000,-0.0057
0.8085,-7.5815,0.6700,0.6700,50.3000,-0.0064
0.8087,-7.4815,0.6700,0.6700,50.4000,-0.0070
0.8090,-7.3815,0.6700,0.6700,50.5000,-0.0073
0.8093,-7.2815,0.6600,0.6800,50.6000,-0.0073
0.8097,-7.1815,0.6600,0.6800,50.7000,-0.0070
0.8102,-7.0815,0.6600,0.6800,50.8000,-0.0062
0.8107,-6.9815,0.6600,0.6800,50.9000,-0.0048
0.8113,-6.8815,0.6600,0.6800,51.0000,-0.0028
0.8119,-6.7815,0.6600,0.6800,51.1000,-0.0001
0.8126,-6.6815,0.6600,0.6800,51.2000,0.0034
0.8131,-6.5815,0.6600,0.6800,51.3000,0.0077
0.8136,-6.4815,0.6600,0.6800,51.4000,0.0128
0.8140,-6.3815,0.6600,0.6800,51.5000,0.0186
0.8142,-6.2815,0.6600,0.6800,51.6000,0.0251
0.8142,-6.1815,0.6600,0.6800,51.7000,0.0322
0.8138,-6.0815,0.6600,0.6800,51.8000,0.0396
0.8130,-5.9815,0.6600,0.6800,51.9000,0.0472
0.8118,-5.8815,0.6600,0.6800,52.0000,0.0547
0.8100,-5.7815,0.6600,0.6800,52.1000,0.0618
0.8076,-5.6815,0.6700,0.6700,52.2000,0.0684
0.8045,-5.5816,0.6700,0.6700,52.3000,0.0739
