# s_m,x_m,y_m,kappa_radpm,along_info,cross_info,mode
9.78793,2.61931,-2.67504,0.18845,13.32,85.18,STRAIGHT_BLIND
9.90308,2.59871,-2.78833,0.18042,13.32,85.18,STRAIGHT_BLIND
10.01823,2.58046,-2.90203,0.16540,13.32,85.18,STRAIGHT_BLIND
10.13338,2.56438,-3.01605,0.15329,7.50,86.69,STRAIGHT_BLIND
10.24854,2.55032,-3.13034,0.14139,7.50,86.69,STRAIGHT_BLIND
10.36369,2.53812,-3.24484,0.13034,7.50,86.69,STRAIGHT_BLIND
10.47884,2.52765,-3.35952,0.11989,7.50,86.69,STRAIGHT_BLIND
10.59399,2.51876,-3.47432,0.11005,7.50,86.69,STRAIGHT_BLIND
10.70914,2.51132,-3.58923,0.10074,8.20,93.10,STRAIGHT_BLIND
10.82429,2.50522,-3.70422,0.09191,8.20,93.10,STRAIGHT_BLIND
10.93945,2.50034,-3.81927,0.08350,8.20,93.10,STRAIGHT_BLIND
11.05460,2.49657,-3.93436,0.07547,8.20,93.10,STRAIGHT_BLIND
11.16975,2.49379,-4.04948,0.06777,8.20,93.10,STRAIGHT_BLIND
11.28490,2.49192,-4.16462,0.06035,9.05,101.87,STRAIGHT_BLIND
11.40005,2.49084,-4.27976,0.05317,9.05,101.87,STRAIGHT_BLIND
11.51521,2.49048,-4.39491,0.04619,9.05,101.87,STRAIGHT_BLIND
11.63036,2.49072,-4.51007,0.03936,9.05,101.87,STRAIGHT_BLIND
11.74551,2.49149,-4.62521,0.03263,9.05,101.87,STRAIGHT_BLIND
11.86066,2.49269,-4.74036,0.02598,10.54,124.87,STRAIGHT_BLIND
11.97581,2.49423,-4.85550,0.01936,10.54,124.87,STRAIGHT_BLIND
12.09097,2.49603,-4.97064,0.01272,10.54,124.87,STRAIGHT_BLIND
12.20612,2.49800,-5.08578,0.00606,10.54,124.87,STRAIGHT_BLIND
12.32127,2.50005,-5.20091,-0.00087,10.54,124.87,STRAIGHT_BLIND
12.43642,2.50209,-5.31604,-0.00728,12.58,156.05,STRAIGHT_BLIND
12.55157,2.50404,-5.43118,-0.01058,12.58,156.05,STRAIGHT_BLIND
12.66673,2.50585,-5.54632,-0.01428,12.58,156.05,STRAIGHT_BLIND
12.78188,2.50747,-5.66146,-0.01788,12.58,156.05,STRAIGHT_BLIND
12.89703,2.50885,-5.77660,-0.02149,12.58,156.05,STRAIGHT_BLIND
13.01218,2.50995,-5.89175,-0.02504,15.93,169.16,STRAIGHT_BLIND
13.12733,2.51071,-6.00690,-0.02850,15.93,169.16,STRAIGHT_BLIND
13.24249,2.51110,-6.12205,-0.03186,15.93,169.16,STRAIGHT_BLIND
13.35764,2.51106,-6.23720,-0.03502,15.93,169.16,STRAIGHT_BLIND
13.47279,2.51056,-6.35235,-0.03826,15.93,169.16,STRAIGHT_BLIND
13.58794,2.50956,-6.46750,-0.04037,21.18,174.18,TRANSIT
13.70309,2.50801,-6.58264,-0.04581,21.18,174.18,TRANSIT
13.81825,2.50592,-6.69777,-0.02606,21.18,174.18,TRANSIT
13.93340,2.50349,-6.81290,0.00089,21.18,174.18,TRANSIT
14.04855,2.50107,-6.92803,0.02547,21.18,174.18,TRANSIT
14.16370,2.49899,-7.04316,0.05060,27.91,169.96,TRANSIT
14.27885,2.49757,-7.15830,0.07598,27.91,169.96,TRANSIT
14.39401,2.49717,-7.27345,0.10213,27.91,169.96,TRANSIT
14.50916,2.49813,-7.38860,0.12939,27.91,169.96,TRANSIT
14.62431,2.50080,-7.50372,0.15806,27.91,169.96,TRANSIT
14.73946,2.50558,-7.61877,0.18862,36.06,152.52,TRANSIT
14.85461,2.51285,-7.73369,0.22082,36.06,152.52,TRANSIT
14.96977,2.52305,-7.84839,0.25702,36.06,152.52,TRANSIT
15.08492,2.53663,-7.96273,0.28891,36.06,152.52,TRANSIT
15.20007,2.55397,-8.07656,0.30271,36.06,152.52,TRANSIT
15.31522,2.57527,-8.18972,0.31945,35.36,146.08,TRANSIT
15.43037,2.60071,-8.30202,0.33539,35.36,146.08,TRANSIT
15.54553,2.63047,-8.41325,0.35116,35.36,146.08,TRANSIT
15.66068,2.66470,-8.52319,0.36614,35.36,146.08,TRANSIT
15.77583,2.70354,-8.63159,0.38001,35.36,146.08,TRANSIT
15.89098,2.74707,-8.73818,0.39231,28.33,165.03,TRANSIT
16.00613,2.79536,-8.84271,0.40267,28.33,165.03,TRANSIT
16.12129,2.84844,-8.94488,0.41052,28.33,165.03,TRANSIT
16.23644,2.90629,-9.04444,0.41623,28.33,165.03,TRANSIT
16.35159,2.96883,-9.14111,0.41699,28.33,165.03,TRANSIT
16.46674,3.03595,-9.23467,0.42242,11.57,161.04,TRANSIT
16.58189,3.10745,-9.32492,0.38131,11.57,161.04,TRANSIT
16.69705,3.18281,-9.41198,0.31933,11.57,161.04,TRANSIT
16.81220,3.26134,-9.49619,0.26679,11.57,161.04,TRANSIT
16.92735,3.34242,-9.57795,0.21661,11.57,161.04,TRANSIT
17.04250,3.42553,-9.65766,0.17046,33.66,155.27,APPROACH
17.15765,3.51019,-9.73571,0.12737,33.66,155.27,APPROACH
17.27281,3.59598,-9.81251,0.08691,33.66,155.27,APPROACH
17.38796,3.68255,-9.88845,0.04845,33.66,155.27,APPROACH
17.50311,3.76954,-9.96390,0.01139,33.66,155.27,APPROACH
17.61826,3.85663,-10.03923,-0.02484,23.43,146.80,APPROACH
17.73341,3.94350,-10.11482,-0.06078,23.43,146.80,APPROACH
17.84857,4.02985,-10.19101,-0.09691,23.43,146.80,APPROACH
17.96372,4.11533,-10.26815,-0.13383,23.43,146.80,APPROACH
18.07887,4.19962,-10.34661,-0.17133,23.43,146.80,APPROACH
18.19402,4.28234,-10.42672,-0.21197,82.52,133.36,APPROACH
18.30917,4.36308,-10.50882,-0.24748,82.52,133.36,APPROACH
18.42433,4.44138,-10.59324,-0.32563,82.52,133.36,APPROACH
18.53948,4.51640,-10.68059,-0.43784,82.52,133.36,APPROACH
18.65463,4.58688,-10.77163,-0.57402,82.52,133.36,APPROACH
18.76978,4.65112,-10.86717,-0.74982,124.31,107.72,APPROACH
18.88493,4.70677,-10.96793,-0.97804,124.31,107.72,APPROACH
19.00008,4.75067,-11.07430,-1.24304,124.31,107.72,APPROACH
19.11524,4.77885,-11.18582,-1.56230,124.31,107.72,APPROACH
19.23038,4.78760,-11.30049,-1.45876,124.31,107.72,APPROACH
19.34554,4.77746,-11.41508,-1.19572,40.48,181.41,APPROACH
19.46069,4.75159,-11.52722,-0.98160,40.48,181.41,APPROACH
19.57584,4.71317,-11.63572,-0.80169,40.48,181.41,APPROACH
19.69099,4.66483,-11.74019,-0.66529,40.48,181.41,APPROACH
19.80614,4.60857,-11.84064,-0.56314,40.48,181.41,APPROACH
19.92130,4.54585,-11.93719,-0.49510,10.38,204.34,APPROACH
20.03645,4.47773,-12.03001,-0.42765,10.38,204.34,APPROACH
20.15160,4.40511,-12.11937,-0.36339,10.38,204.34,APPROACH
20.26675,4.32881,-12.20561,-0.30333,10.38,204.34,APPROACH
20.38190,4.24954,-12.28912,-0.24770,10.38,204.34,APPROACH
20.49706,4.16791,-12.37034,-0.19617,12.24,208.95,STRAIGHT_BLIND
20.61221,4.08447,-12.44969,-0.14811,12.24,208.95,STRAIGHT_BLIND
20.72736,3.99967,-12.52760,-0.10273,12.24,208.95,STRAIGHT_BLIND
20.84251,3.91396,-12.60449,-0.05919,12.24,208.95,STRAIGHT_BLIND
20.95766,3.82772,-12.68080,-0.01659,12.24,208.95,STRAIGHT_BLIND
21.07282,3.74134,-12.75695,0.02594,15.14,193.77,STRAIGHT_BLIND
21.18797,3.65519,-12.83335,0.06940,15.14,193.77,STRAIGHT_BLIND
21.30312,3.56965,-12.91045,0.11452,15.14,193.77,STRAIGHT_BLIND
21.41827,3.48515,-12.98867,0.16310,15.14,193.77,STRAIGHT_BLIND
21.53342,3.40213,-13.06846,0.21304,15.14,193.77,STRAIGHT_BLIND
21.64858,3.32111,-13.15029,0.27682,16.88,169.34,STRAIGHT_BLIND
21.76373,3.24267,-13.23458,0.29260,16.88,169.34,STRAIGHT_BLIND
21.87888,3.16706,-13.32143,0.28128,16.88,169.34,STRAIGHT_BLIND
21.99403,3.09432,-13.41069,0.27368,16.88,169.34,STRAIGHT_BLIND
22.10918,3.02441,-13.50219,0.26233,16.88,169.34,STRAIGHT_BLIND
22.22434,2.95730,-13.59576,0.24949,22.36,136.94,TRANSIT
22.33949,2.89290,-13.69121,0.23485,22.36,136.94,TRANSIT
22.45464,2.83110,-13.78837,0.21882,22.36,136.94,TRANSIT
22.56979,2.77177,-13.88706,0.20165,22.36,136.94,TRANSIT
22.68494,2.71474,-13.98709,0.18359,22.36,136.94,TRANSIT
22.80009,2.65984,-14.08831,0.16493,24.80,112.30,APPROACH
22.91525,2.60686,-14.19055,0.14579,24.80,112.30,APPROACH
23.03040,2.55562,-14.29367,0.12665,24.80,112.30,APPROACH
23.14555,2.50588,-14.39753,0.10662,24.80,112.30,APPROACH
23.26070,2.45742,-14.50199,0.08972,24.80,112.30,APPROACH
23.37585,2.40991,-14.60688,0.00616,34.77,89.90,APPROACH
23.49101,2.36247,-14.71181,-0.08139,34.77,89.90,APPROACH
23.60616,2.31404,-14.81628,-0.17083,34.77,89.90,APPROACH
23.72131,2.26356,-14.91977,-0.26599,34.77,89.90,APPROACH
23.83646,2.20992,-15.02166,-0.36851,34.77,89.90,APPROACH
23.95161,2.15199,-15.12117,-0.47927,51.31,92.13,APPROACH
24.06677,2.08866,-15.21732,-0.59652,51.31,92.13,APPROACH
24.18192,2.01888,-15.30888,-0.71449,51.31,92.13,APPROACH
24.29707,1.94184,-15.39442,-0.82177,51.31,92.13,APPROACH
24.41222,1.85711,-15.47233,-0.90307,51.31,92.13,APPROACH
24.52737,1.76483,-15.54111,-0.94147,61.88,75.74,APPROACH
24.64253,1.66569,-15.59959,-0.93712,61.88,75.74,APPROACH
24.75768,1.56090,-15.64720,-0.86895,61.88,75.74,APPROACH
24.87283,1.45185,-15.68403,-0.84084,61.88,75.74,APPROACH
24.98798,1.33968,-15.70987,-0.94107,61.88,75.74,APPROACH
25.10313,1.22536,-15.72310,-1.19528,69.21,42.41,APPROACH
25.21828,1.11039,-15.72003,-1.68191,69.21,42.41,APPROACH
25.33345,0.99862,-15.69360,-2.78183,69.21,42.41,APPROACH
25.44858,0.90144,-15.63326,-4.27861,69.21,42.41,APPROACH
25.56370,0.83757,-15.53834,-2.57145,69.21,42.41,APPROACH
