# s_m,x_m,y_m,kappa_radpm,along_info,cross_info,mode
40.99405,0.80149,-0.25154,0.01991,19.93,98.15,STRAIGHT_BLIND
41.10920,0.80335,-0.13641,0.01851,19.93,98.15,STRAIGHT_BLIND
41.22435,0.80496,-0.02126,0.01673,23.74,85.50,TRANSIT
41.33950,0.80635,0.09388,0.01507,23.74,85.50,TRANSIT
41.45466,0.80755,0.20902,0.01340,23.74,85.50,TRANSIT
41.56981,0.80856,0.32417,0.01174,23.74,85.50,TRANSIT
41.68496,0.80942,0.43932,0.01009,23.74,85.50,TRANSIT
41.80011,0.81015,0.55447,0.00845,27.45,87.34,TRANSIT
41.91526,0.81076,0.66962,0.00682,27.45,87.34,TRANSIT
42.03041,0.81128,0.78477,0.00519,27.45,87.34,TRANSIT
42.14557,0.81174,0.89992,0.00357,27.45,87.34,TRANSIT
42.26072,0.81214,1.01507,0.00194,27.45,87.34,TRANSIT
42.37587,0.81252,1.13023,0.00032,32.14,67.44,TRANSIT
42.49102,0.81290,1.24538,-0.00129,32.14,67.44,TRANSIT
42.60617,0.81330,1.36053,-0.00291,32.14,67.44,TRANSIT
42.72133,0.81373,1.47568,-0.00454,32.14,67.44,TRANSIT
42.83648,0.81422,1.59083,-0.00616,32.14,67.44,TRANSIT
42.95163,0.81480,1.70598,-0.00780,37.72,47.29,TRANSIT
43.06678,0.81547,1.82113,-0.00942,37.72,47.29,TRANSIT
43.18193,0.81628,1.93628,-0.01116,37.72,47.29,TRANSIT
43.29709,0.81723,2.05143,-0.01246,37.72,47.29,TRANSIT
43.41224,0.81835,2.16657,-0.01546,37.72,47.29,TRANSIT
43.52739,0.81965,2.28172,-0.00939,45.55,53.23,TRANSIT
43.64254,0.82107,2.39686,0.00239,45.55,53.23,TRANSIT
43.75769,0.82245,2.51201,0.01284,45.55,53.23,TRANSIT
43.87285,0.82367,2.62715,0.02358,45.55,53.23,TRANSIT
43.98800,0.82457,2.74230,0.03412,45.55,53.23,TRANSIT
44.10315,0.82503,2.85745,0.04451,57.68,70.63,TRANSIT
44.21830,0.82489,2.97260,0.05468,57.68,70.63,TRANSIT
44.33345,0.82403,3.08775,0.06452,57.68,70.63,TRANSIT
44.44861,0.82231,3.20289,0.07421,57.68,70.63,TRANSIT
44.56376,0.81961,3.31801,0.08288,57.68,70.63,TRANSIT
44.67891,0.81581,3.43310,0.09347,78.13,101.31,TRANSIT
44.79406,0.81079,3.54814,0.09476,78.13,101.31,TRANSIT
44.90921,0.80477,3.66314,-0.02091,78.13,101.31,TRANSIT
45.02437,0.79902,3.77814,-0.12964,78.13,101.31,TRANSIT
45.13952,0.79500,3.89322,-0.24542,78.13,101.31,TRANSIT
45.25467,0.79425,4.00837,-0.37028,116.70,105.45,TRANSIT
45.36982,0.79844,4.12343,-0.50869,116.70,105.45,TRANSIT
45.48497,0.80938,4.23804,-0.65870,116.70,105.45,TRANSIT
45.60013,0.82915,4.35144,-0.89218,116.70,105.45,TRANSIT
45.71528,0.86082,4.46208,-1.30876,116.70,105.45,TRANSIT
45.83043,0.90931,4.56632,-2.03815,116.70,105.45,TRANSIT
45.94559,0.98142,4.65553,-3.32898,116.70,105.45,TRANSIT
