0.000000,0.620324,3.168088,-1.875881,0.156009,0.493222,0.888038,3.507991
0.108482,0.587739,3.064616,-1.858859,0.231052,0.461111,0.920139,3.630839
0.215753,0.559039,2.961256,-1.825689,0.302525,0.430043,0.944957,3.747402
0.321367,0.534068,2.858636,-1.794444,0.290392,0.407036,0.967964,3.857856
0.425536,0.512517,2.756721,-1.764898,0.278376,0.386304,0.988696,3.962992
0.528798,0.494062,2.655121,-1.736819,0.267053,0.367901,1.007099,4.063802
0.631387,0.478501,2.553719,-1.709980,0.257122,0.351781,1.023219,4.160858
0.733433,0.465675,2.452483,-1.684233,0.248202,0.337922,1.037078,4.254568
0.835002,0.455455,2.351429,-1.659462,0.240144,0.326265,1.048735,4.345238
0.936161,0.447724,2.250566,-1.635571,0.232653,0.316787,1.058213,4.433134
1.037010,0.442380,2.149859,-1.612481,0.225659,0.315685,1.059315,4.518523
1.137578,0.439331,2.049337,-1.590124,0.219277,0.310411,1.064589,4.601588
1.237868,0.438498,1.949050,-1.568442,0.213353,0.307196,1.067804,4.682470
1.337915,0.439803,1.849011,-1.547389,0.128579,0.309025,1.062715,4.761324
1.437753,0.443176,1.749231,-1.542778,-0.033588,0.288137,1.061863,4.838288
1.537319,0.445389,1.649689,-1.554127,-0.123444,0.294095,1.062145,4.913417
1.636637,0.446491,1.550377,-1.567318,-0.109873,0.292818,1.057172,4.986822
1.735930,0.446080,1.451085,-1.575930,-0.049691,0.290188,1.059802,5.058751
1.835256,0.445471,1.351761,-1.577188,-0.007265,0.293749,1.056241,5.129314
1.934544,0.444811,1.252475,-1.577373,-0.000562,0.291148,1.058842,5.198525
2.033842,0.444165,1.153179,-1.577300,0.000291,0.288722,1.049248,5.266478
2.133149,0.443519,1.053874,-1.577315,-0.000197,0.286423,1.038567,5.333226
2.232430,0.442871,0.954596,-1.577339,-0.000229,0.290523,1.034477,5.398796
2.331735,0.442220,0.855292,-1.577361,-0.000186,0.300989,1.036491,5.463269
2.431029,0.441567,0.756001,-1.577376,-0.000137,0.311622,1.038378,5.526667
2.530334,0.440913,0.656698,-1.577388,-0.000121,0.309883,1.040117,5.589046
2.629649,0.440258,0.557385,-1.577400,-0.000114,0.308263,1.041737,5.650442
2.728925,0.439602,0.458112,-1.577411,-0.000108,0.313031,1.036969,5.710864
2.828232,0.438944,0.358806,-1.577421,-0.000104,0.311687,1.038313,5.770388
2.927570,0.438286,0.259471,-1.577431,-0.000102,0.310461,1.039539,5.829045
3.026870,0.437626,0.160173,-1.577441,-0.000102,0.309354,1.040646,5.886826
3.126177,0.436966,0.060868,-1.577452,-0.000101,0.308385,1.041615,5.943785
3.225528,0.436304,-0.038481,-1.577462,-0.000101,0.307534,1.042466,5.999971
3.324855,0.435642,-0.137805,-1.577472,-0.000100,0.306792,1.043208,6.055371
3.424174,0.434978,-0.237123,-1.577482,-0.000100,0.306178,1.043822,6.110018
3.523502,0.434314,-0.336448,-1.577491,-0.000100,0.305683,1.044317,6.163945
3.622866,0.433648,-0.435810,-1.577501,-0.000100,0.305306,1.044694,6.217189
3.722217,0.432981,-0.535159,-1.577511,-0.000101,0.305027,1.044973,6.269743
3.821562,0.432314,-0.634502,-1.577521,-0.000102,0.304878,1.045122,6.321632
3.920946,0.431645,-0.733883,-1.577532,-0.000105,0.304826,1.045174,6.372897
4.020311,0.430975,-0.833246,-1.577542,-0.000110,0.298633,1.051367,6.423527
4.119692,0.430304,-0.932625,-1.577553,-0.000112,0.298799,1.051201,6.473558
4.219079,0.429632,-1.032009,-1.577565,-0.000112,0.299063,1.050937,6.522999
4.318468,0.428959,-1.131396,-1.577576,-0.000112,0.299436,1.050564,6.571864
4.417877,0.428284,-1.230803,-1.577587,-0.000112,0.299907,1.050093,6.620179
4.517297,0.427609,-1.330221,-1.577598,-0.000114,0.300477,1.049523,6.667953
4.616707,0.426932,-1.429629,-1.577610,-0.000118,0.294895,1.055105,6.715188
4.716133,0.426254,-1.529052,-1.577621,-0.000120,0.295662,1.054338,6.761911
4.815580,0.425575,-1.628497,-1.577633,-0.000119,0.296507,1.053493,6.808138
4.914993,0.424894,-1.727907,-1.577645,-0.000121,0.297451,1.052549,6.853853
5.014443,0.424213,-1.827355,-1.577657,-0.000124,0.292244,1.057756,6.899103
5.113938,0.423529,-1.926847,-1.577670,-0.000125,0.293365,1.056635,6.943901
5.213398,0.422845,-2.026306,-1.577682,-0.000124,0.294565,1.055435,6.988223
5.312872,0.422159,-2.125777,-1.577694,-0.000124,0.295863,1.060397,7.032099
5.412367,0.421473,-2.225270,-1.577707,-0.000127,0.290981,1.059029,7.075545
5.511845,0.420784,-2.324745,-1.577720,-0.000128,0.292436,1.057574,7.118552
5.611349,0.420095,-2.424246,-1.577732,-0.000129,0.293970,1.062290,7.161149
5.710875,0.419404,-2.523770,-1.577745,-0.000132,0.289323,1.060677,7.203342
5.810405,0.418712,-2.623298,-1.577759,-0.000135,0.291005,1.058995,7.245134
5.909930,0.418018,-2.722821,-1.577772,-0.000137,0.286515,0.976565,7.286527
6.009478,0.417323,-2.822366,-1.577786,-0.000136,0.288344,0.877586,7.327542
6.109026,0.416626,-2.921911,-1.577799,-0.000133,0.290242,0.779768,7.368178
6.208600,0.415928,-3.021483,-1.577813,-0.000133,0.285959,0.684221,7.408453
6.308178,0.415229,-3.121058,-1.577826,-0.000133,0.287984,0.593676,7.448364
6.407733,0.414529,-3.220611,-1.577839,-0.000135,0.283837,0.516443,7.487909
6.507310,0.413827,-3.320186,-1.577853,-0.000137,0.286000,0.464010,7.527111
6.606927,0.413123,-3.419800,-1.577867,-0.000140,0.281971,0.495009,7.565985
6.706527,0.412418,-3.519398,-1.577881,-0.000144,0.284241,0.559249,7.604515
6.806136,0.411712,-3.619004,-1.577895,-0.000149,0.280320,0.642440,7.642716
6.905765,0.411004,-3.718631,-1.577910,-0.000155,0.282707,0.732383,7.680600
