# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m
9.78793,2.61931,-2.67504,-1.76251,0.18845,0.80203,0.59688
9.90308,2.59871,-2.78833,-1.74030,0.18042,0.77812,0.61562
10.01823,2.58046,-2.90203,-1.72043,0.16540,0.75938,0.62813
10.13338,2.56438,-3.01605,-1.70205,0.15329,0.74062,0.64687
10.24854,2.55032,-3.13034,-1.68507,0.14139,0.72813,0.65938
10.36369,2.53812,-3.24484,-1.66941,0.13034,0.70937,0.67188
10.47884,2.52765,-3.35952,-1.65499,0.11989,0.70312,0.67812
10.59399,2.51876,-3.47432,-1.64174,0.11005,0.69063,0.68437
10.70914,2.51132,-3.58923,-1.62960,0.10074,0.68437,0.69688
10.82429,2.50522,-3.70422,-1.61850,0.09191,0.67812,0.69688
10.93945,2.50034,-3.81927,-1.60839,0.08350,0.67188,0.70312
11.05460,2.49657,-3.93436,-1.59923,0.07547,0.66563,0.70937
11.16975,2.49379,-4.04948,-1.59098,0.06777,0.66563,0.70937
11.28490,2.49192,-4.16462,-1.58360,0.06035,0.66563,0.70937
11.40005,2.49084,-4.27976,-1.57706,0.05317,0.65938,0.71562
11.51521,2.49048,-4.39491,-1.57133,0.04619,0.65938,0.71562
11.63036,2.49072,-4.51007,-1.56640,0.03936,0.65938,0.71562
11.74551,2.49149,-4.62521,-1.56226,0.03263,0.65938,0.71562
11.86066,2.49269,-4.74036,-1.55888,0.02598,0.66563,0.70937
11.97581,2.49423,-4.85550,-1.55627,0.01936,0.66563,0.70937
12.09097,2.49603,-4.97064,-1.55442,0.01272,0.66563,0.70937
12.20612,2.49800,-5.08578,-1.55335,0.00606,0.67188,0.70937
12.32127,2.50005,-5.20091,-1.55304,-0.00087,0.67188,0.69712
12.43642,2.50209,-5.31604,-1.55348,-0.00728,0.67188,0.67812
12.55157,2.50404,-5.43118,-1.55448,-0.01058,0.67188,0.67812
12.66673,2.50585,-5.54632,-1.55592,-0.01428,0.67812,0.67188
12.78188,2.50747,-5.66146,-1.55777,-0.01788,0.67812,0.67188
12.89703,2.50885,-5.77660,-1.56003,-0.02149,0.67812,0.68592
13.01218,2.50995,-5.89175,-1.56271,-0.02504,0.67812,0.69688
13.12733,2.51071,-6.00690,-1.56579,-0.02850,0.68437,0.69063
13.24249,2.51110,-6.12205,-1.56926,-0.03186,0.68437,0.69063
13.35764,2.51106,-6.23720,-1.57311,-0.03502,0.68437,0.69063
13.47279,2.51056,-6.35235,-1.57732,-0.03826,0.68437,0.69063
13.58794,2.50956,-6.46750,-1.58187,-0.04037,0.67812,0.69688
13.70309,2.50801,-6.58264,-1.58662,-0.04581,0.67812,0.69688
13.81825,2.50592,-6.69777,-1.59045,-0.02606,0.67812,0.69688
13.93340,2.50349,-6.81290,-1.59185,0.00089,0.67188,0.70312
14.04855,2.50107,-6.92803,-1.59035,0.02547,0.67188,0.70312
14.16370,2.49899,-7.04316,-1.58596,0.05060,0.67188,0.70312
