# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m
43.18193,0.81628,1.93628,1.56318,-0.01116,0.69063,0.68437
43.29709,0.81723,2.05143,1.56181,-0.01246,0.68437,0.69063
43.41224,0.81835,2.16657,1.56027,-0.01546,0.68437,0.69063
43.52739,0.81965,2.28172,1.55899,-0.00939,0.68437,0.69063
43.64254,0.82107,2.39686,1.55862,0.00239,0.68437,0.69063
43.75769,0.82245,2.51201,1.55949,0.01284,0.68437,0.69063
43.87285,0.82367,2.62715,1.56159,0.02358,0.67812,0.69688
43.98800,0.82457,2.74230,1.56491,0.03412,0.67812,0.69688
44.10315,0.82503,2.85745,1.56943,0.04451,0.67812,0.69688
44.21830,0.82489,2.97260,1.57514,0.05468,0.67812,0.69688
44.33345,0.82403,3.08775,1.58200,0.06452,0.67812,0.69688
44.44861,0.82231,3.20289,1.58997,0.07421,0.68437,0.69063
44.56376,0.81961,3.31801,1.59902,0.08288,0.68437,0.69063
44.67891,0.81581,3.43310,1.60911,0.09347,0.69063,0.68437
44.79406,0.81079,3.54814,1.61873,0.09476,0.69688,0.68437
44.90921,0.80477,3.66314,1.62193,-0.02091,0.70312,0.67812
45.02437,0.79902,3.77814,1.61326,-0.12964,0.69529,0.67188
45.13952,0.79500,3.89322,1.59151,-0.24542,0.69900,0.66563
45.25467,0.79425,4.00837,1.55585,-0.37028,0.71815,0.66563
45.36982,0.79844,4.12343,1.50501,-0.50869,0.74998,0.67188
45.48497,0.80938,4.23804,1.43691,-0.65870,0.79126,0.68437
45.60013,0.82915,4.35144,1.34512,-0.89218,0.83857,0.71246
45.71528,0.86082,4.46208,1.21374,-1.30876,0.88781,0.74405
45.83043,0.90931,4.56632,1.01332,-2.03815,0.93298,0.79255
45.94559,0.98142,4.65553,0.71115,-3.32898,0.96417,0.86468
