# x_m,y_m,w_tr_right_m,w_tr_left_m
3.8566,-10.0392,0.5556,0.5464
3.9435,-10.1148,0.5593,0.5412
4.0298,-10.1910,0.5494,0.5369
4.1153,-10.2682,0.5556,0.5369
4.1996,-10.3466,0.5619,0.5244
4.2823,-10.4267,0.5681,0.5360
4.3631,-10.5088,0.5681,0.5306
4.4414,-10.5932,0.5494,0.5306
4.5164,-10.6806,0.5556,0.5431
4.5869,-10.7716,0.5447,0.5619
4.6511,-10.8672,0.5230,0.5865
4.7068,-10.9679,0.5056,0.6184
4.7507,-11.0743,0.4956,0.6626
4.7788,-11.1858,0.4901,0.7215
4.7876,-11.3005,0.4859,0.7964
4.7775,-11.4151,0.4681,0.7573
4.7516,-11.5272,0.4798,0.6962
4.7132,-11.6357,0.4875,0.6466
4.6648,-11.7402,0.5055,0.6149
4.6086,-11.8406,0.5244,0.5934
4.5458,-11.9372,0.5394,0.5695
4.4777,-12.0300,0.5556,0.5494
4.4051,-12.1194,0.5556,0.5306
4.3288,-12.2056,0.5744,0.5244
4.2495,-12.2891,0.5681,0.5244
4.1679,-12.3703,0.5681,0.5244
4.0845,-12.4497,0.5681,0.5181
3.9997,-12.5276,0.5619,0.5369
3.9140,-12.6045,0.5556,0.5306
3.8277,-12.6808,0.5431,0.5494
3.7413,-12.7569,0.5431,0.5556
3.6552,-12.8334,0.5431,0.5556
3.5697,-12.9104,0.5244,0.5619
3.4851,-12.9887,0.5306,0.5681
3.4021,-13.0685,0.5244,0.5744
3.3211,-13.1503,0.5181,0.5681
3.2427,-13.2346,0.5244,0.5619
3.1671,-13.3214,0.5369,0.5656
3.0943,-13.4107,0.5551,0.5494
3.0244,-13.5022,0.5703,0.5306
2.9573,-13.5958,0.5889,0.5232
2.8929,-13.6912,0.5722,0.5181
2.8311,-13.7884,0.5604,0.5344
2.7718,-13.8871,0.5494,0.5431
2.7147,-13.9871,0.5369,0.5369
2.6598,-14.0883,0.5369,0.5369
2.6069,-14.1906,0.5400,0.5494
2.5556,-14.2937,0.5369,0.5543
2.5059,-14.3975,0.5306,0.5523
2.4574,-14.5020,0.5306,0.5494
2.4099,-14.6069,0.5494,0.5431
2.3625,-14.7118,0.5541,0.5431
2.3140,-14.8163,0.5431,0.5480
2.2636,-14.9198,0.5494,0.5431
2.2099,-15.0217,0.5556,0.5431
2.1520,-15.1212,0.5369,0.5431
2.0887,-15.2173,0.5380,0.5681
2.0189,-15.3089,0.5368,0.5915
1.9418,-15.3944,0.5459,0.6221
