#{"t_start": 1789494789.018607, "env_id": "None"}
r,l,t
52.149563,42,589.190201
38.250834,39,593.235804
-2.107819,23,595.516374
71.629976,58,599.764953
73.069745,54,603.883533
69.331245,60,608.538864
71.438727,50,613.016025
51.562032,42,616.956412
-12.319908,14,618.729019
-3.374424,15,620.982033
12.106826,21,623.84626
72.921428,48,628.334461
70.379048,57,632.746032
71.586823,58,637.055137
69.065608,59,641.660248
74.207461,46,645.866338
73.596927,44,649.990696
-4.359617,18,652.074829
73.520982,44,656.499295
70.602811,50,660.81518
71.933567,62,665.38801
71.240291,66,670.339618
41.462771,47,674.289848
69.61519,57,679.405606
72.989024,50,683.992215
73.990787,46,688.734172
42.070056,51,692.651264
-14.595521,14,694.323241
70.404851,67,699.335023
72.307399,64,704.033985
22.75433,42,707.369992
65.622266,77,712.891903
73.065057,62,718.220217
69.891938,65,724.188898
71.777672,58,730.033804
70.791125,80,735.516267
74.312321,93,741.852958
65.329472,78,748.44358
62.736472,71,755.084192
69.605829,70,762.936381
67.538408,130,771.990776
69.376298,123,781.271507
69.003251,106,791.04943
75.926096,68,798.664949
66.08819,133,807.767298
53.464758,101,815.467368
69.690935,90,823.220572
21.825455,52,828.674526
19.995679,49,834.250258
-3.970993,14,836.487354
75.365049,72,844.653154
-2.711923,30,848.328936
-5.856733,23,851.421873
75.312557,89,859.038969
60.186716,112,866.892553
62.773134,135,877.234558
68.829349,87,885.453935
67.790192,129,894.087372
69.927113,89,900.280197
68.947962,87,907.499158
26.507894,47,912.37102
-5.815757,26,915.602373
20.706527,40,920.37724
39.442354,50,926.340983
68.632426,69,933.930562
63.720054,98,943.072165
68.731687,86,949.323705
65.65663,110,957.490196
59.982389,80,964.627088
67.473609,71,972.616984
51.002706,79,981.734742
34.745264,237,998.865067
61.271377,98,1006.871326
65.931691,74,1013.504367
47.494952,169,1025.762557
61.653684,99,1032.793226
65.448093,69,1038.725636
66.554847,76,1046.818705
4.904061,28,1050.347962
5.930517,31,1053.617503
63.812223,88,1060.076067
65.757439,81,1065.96418
60.126499,92,1073.491349
61.238437,63,1079.667633
7.466046,26,1082.9786
57.357793,118,1091.333202
57.182009,114,1099.874093
63.826627,96,1107.868358
69.676059,52,1114.187243
24.098226,27,1117.730282
7.195848,26,1121.065507
-5.161611,12,1123.078217
66.950673,63,1130.282565
65.186883,61,1137.227907
67.406298,55,1143.687241
9.035851,23,1146.766496
65.925175,71,1153.693674
65.226286,123,1162.162531
59.222972,112,1170.925538
56.499822,87,1179.207527
67.150049,75,1187.454811
-1.854075,30,1191.038864
64.062193,74,1199.156085
55.116723,106,1206.68565
54.988348,85,1212.264619
60.044105,104,1219.310999
59.152824,96,1226.009426
-0.010625,29,1228.686536
65.298125,72,1234.947366
62.460975,53,1241.039546
68.575245,59,1248.134283
8.192375,23,1251.162669
60.280558,102,1259.562907
59.301933,82,1265.615991
44.554299,70,1271.098683
45.460004,75,1277.629927
62.797226,68,1283.738284
71.166738,45,1289.235728
68.949775,78,1294.93123
50.267587,69,1300.115528
72.702291,70,1305.394853
63.133608,83,1312.438108
-6.012119,22,1315.082789
71.900903,46,1320.848277
34.85384,42,1325.985982
47.165212,57,1332.520148
40.672993,33,1336.784688
60.86926,60,1343.636605
63.630933,66,1349.483743
63.266183,72,1354.833036
65.708081,91,1361.514283
47.681173,71,1367.703545
64.93285,77,1374.913033
68.766929,46,1380.804314
24.342117,26,1384.30483
8.786124,26,1387.686369
67.4934,68,1395.35425
1.0112,18,1397.881367
0.085159,16,1400.294389
-3.773078,19,1402.934387
70.591058,51,1409.244238
-2.831636,17,1411.710709
-5.537452,20,1414.456378
62.674199,53,1420.794208
62.840297,46,1426.470164
12.897469,25,1429.712229
40.969822,43,1434.930865
64.004338,63,1442.155388
63.637432,54,1447.558285
58.523149,87,1453.887712
51.214593,65,1458.713385
63.638032,63,1464.142409
67.110877,67,1470.239855
40.769309,50,1476.079051
67.676281,57,1482.698396
55.480908,40,1487.751043
47.50875,55,1494.082583
66.829478,60,1499.304161
49.799118,62,1503.8623
48.939718,73,1509.15833
64.013777,70,1514.955308
49.430957,58,1520.122352
5.161384,43,1524.676573
20.988868,46,1530.0496
58.470016,107,1537.61336
56.117509,102,1544.837368
53.52319,161,1555.701117
66.458528,62,1561.148379
10.771439,52,1566.021336
29.926637,69,1573.456644
66.543313,80,1579.758943
59.27713,132,1588.740484
63.822256,92,1596.558462
63.184735,68,1603.859688
47.023666,68,1611.374183
21.599714,34,1615.534173
4.461329,32,1619.44564
-3.16113,22,1622.40532
22.87306,32,1626.521543
36.867244,69,1634.065319
50.274468,50,1640.005582
45.529047,79,1648.432589
54.114182,144,1658.556608
65.624265,81,1664.794062
64.215517,80,1671.643255
44.787562,84,1680.649333
23.251192,29,1684.522978
52.031137,38,1689.23277
62.730522,76,1697.492115
37.63619,57,1703.711776
58.844006,114,1711.776326
57.524496,131,1720.676821
46.533244,104,1727.877502
65.726045,88,1734.414883
56.540318,94,1742.168472
63.110941,108,1749.009952
62.371481,100,1755.427569
51.715763,89,1761.43223
66.393201,91,1767.678844
63.344375,103,1774.677627
67.259935,89,1780.830546
66.25672,83,1786.643497
60.183334,101,1793.810342
41.733499,90,1801.565581
69.718034,84,1809.999284
61.688984,88,1816.363828
46.768216,110,1824.215323
65.789444,77,1830.88608
54.22989,62,1837.405866
6.704712,34,1841.484901
36.762102,58,1847.937247
13.801775,31,1851.758358
35.241855,48,1857.299518
32.176815,64,1864.399609
36.468377,67,1871.806415
-4.573809,18,1874.376045
50.081131,89,1880.867527
56.504582,125,1889.45584
50.015617,80,1896.416136
64.921907,57,1902.93438
45.796798,70,1910.626651
51.696162,64,1917.910552
32.599377,59,1924.519813
68.025176,76,1932.775836
63.001226,101,1941.282469
67.291162,91,1947.781416
69.187317,74,1953.739275
33.807521,54,1958.531412
68.288358,58,1965.073423
68.640208,52,1971.531208
65.790664,58,1978.439055
61.709182,68,1984.228925
57.128473,113,1992.095066
44.431535,50,1996.382538
63.909596,77,2003.169899
13.300406,39,2007.767754
68.65561,76,2016.109007
67.482909,62,2023.166798
44.200399,60,2029.896635
25.623468,34,2034.213941
55.314518,49,2040.23672
54.960339,62,2047.375935
63.233556,78,2054.142142
59.620445,78,2059.02118
68.309987,90,2064.638234
68.463399,97,2070.566622
74.537049,75,2075.31692
69.244447,77,2080.187071
69.340378,81,2085.487771
64.57108,88,2091.334981
59.835072,117,2098.505672
70.032527,72,2103.188267
62.576737,109,2110.005873
57.901252,102,2116.287165
63.947153,93,2122.020376
67.702974,82,2127.287246
65.86791,104,2133.835453
67.676533,77,2139.093632
45.706499,93,2145.122836
64.21453,104,2151.620494
58.582241,97,2157.989453
64.650096,102,2164.302875
71.909421,73,2168.988157
64.622253,96,2175.034789
60.954624,93,2180.921393
62.392855,99,2187.237874
68.160937,82,2192.521504
64.919818,106,2198.989363
65.128497,91,2204.691058
65.256186,99,2210.920807
69.876896,83,2216.105696
72.35086,71,2220.789877
69.722037,89,2226.671565
35.239698,51,2230.454772
61.50332,83,2235.688934
66.957528,80,2240.987911
48.202511,87,2246.848937
67.150246,99,2252.937834
65.258109,97,2258.90699
65.565542,83,2264.24415
65.770937,89,2269.993514
62.518964,93,2275.840629
71.614233,65,2280.322109
69.345291,86,2285.821707
62.383885,101,2291.990209
67.727492,74,2296.97219
67.225927,88,2302.539621
66.638161,83,2307.872385
69.314708,74,2312.75632
59.458455,123,2320.291408
69.586992,86,2325.746386
65.94997,97,2331.807822
68.40705,80,2336.77239
65.064334,95,2342.723459
71.644065,67,2346.991608
64.552136,95,2353.041993
66.614089,83,2358.562135
63.553061,101,2365.109194
-8.49545,27,2367.279956
66.658641,86,2372.610942
65.448549,95,2378.428767
67.292954,83,2383.675491
67.309824,96,2389.609744
63.494148,111,2396.46107
63.467115,91,2402.01044
57.004869,94,2407.861212
62.634897,114,2414.744344
68.163114,80,2419.727206
62.619892,107,2426.293375
63.764135,107,2433.225543
65.552992,102,2439.758979
64.910115,91,2445.429145
66.09093,84,2450.727622
66.257809,96,2456.692476
62.51167,106,2463.559675
67.488229,100,2469.728165
66.795679,91,2475.560169
68.798177,82,2480.746208
62.902869,110,2487.597489
68.116378,88,2493.062874
64.507555,95,2499.129511
65.107506,100,2505.365854
62.472671,99,2511.530747
59.180475,111,2518.433221
59.081974,120,2525.679949
63.255835,101,2531.847697
65.589205,95,2537.73236
61.890284,107,2544.445202
63.049121,93,2550.21584
63.495213,104,2556.579427
70.339526,82,2561.831275
64.934471,96,2567.797949
65.700313,90,2573.631774
63.158725,107,2580.382921
60.278613,121,2587.751381
69.227641,76,2592.599549
65.74528,98,2598.651372
64.687151,91,2604.347899
66.898472,100,2611.201806
61.982694,116,2618.367595
16.644131,68,2623.148456
41.199215,100,2629.4833
61.3283,114,2636.755527
63.053028,83,2642.833754
62.297443,101,2649.515084
-13.966092,13,2651.267253
68.055391,81,2656.818016
18.582383,65,2662.022186
61.613873,101,2668.365516
61.711759,118,2675.583491
65.717808,88,2681.385898
60.323101,112,2688.470292
69.523399,80,2694.085514
63.894969,99,2700.567436
59.839132,106,2707.568252
63.922248,91,2713.320967
66.661494,96,2719.174009
62.794252,96,2725.167538
59.654633,104,2732.001317
64.201431,109,2738.766466
63.804309,92,2744.420297
56.678429,121,2751.737473
60.284742,104,2758.534338
61.353889,96,2764.370269
64.258905,105,2770.768178
59.770976,125,2778.474792
68.806071,83,2783.77195
60.240028,121,2791.035768
66.516251,93,2796.974243
69.825747,85,2802.239174
69.545537,84,2807.556284
62.112386,101,2813.722825
60.323105,112,2820.821368
57.440714,121,2828.2726
56.262746,110,2835.322393
63.079575,112,2842.321163
56.815357,109,2849.240371
63.181616,111,2856.422587
59.446178,101,2862.89228
66.426687,84,2868.837704
61.289401,114,2875.705019
67.082664,91,2881.508834
-5.006439,37,2884.613554
62.605769,94,2890.839044
62.977972,93,2896.606221
60.883446,115,2903.805742
69.959673,67,2908.188532
62.437904,86,2913.508995
64.4601,93,2919.488454
69.129344,84,2924.858444
65.414384,92,2930.640218
68.786615,71,2935.289207
64.750034,99,2941.391899
68.05568,72,2946.056613
67.94978,85,2951.741946
65.324404,102,2958.008854
67.671526,89,2963.925323
63.950078,98,2970.393117
67.357871,79,2975.560298
68.093873,93,2981.623823
64.805644,94,2987.440084
62.44607,107,2994.342513
66.888792,84,2999.694404
68.322046,73,3004.39198
67.205761,82,3010.395347
67.393277,81,3015.843374
66.011384,93,3021.808085
64.423658,83,3027.041364
71.213603,73,3031.692468
69.570188,73,3036.526657
69.899917,67,3040.74361
66.871017,92,3046.629717
64.065986,102,3053.295818
64.807139,92,3059.393875
67.630585,84,3064.531848
71.209634,74,3069.294248
67.411583,90,3074.844051
66.843371,91,3080.445814
65.327402,88,3086.461325
63.112846,88,3091.927954
64.10826,97,3097.778046
69.663829,88,3103.260296
66.454652,88,3108.845001
67.903275,78,3113.947903
67.787752,75,3118.731375
66.44057,90,3124.527578
65.608144,85,3130.213276
63.289427,84,3135.576926
67.418474,88,3141.24673
44.161743,78,3146.352419
66.036418,83,3152.612297
64.423473,99,3158.678452
57.806691,114,3165.684791
70.922218,65,3170.215449
61.759864,113,3177.297385
68.788761,76,3182.228449
67.109267,81,3187.727594
65.308952,98,3193.895117
66.242006,85,3199.182005
69.520693,75,3204.165712
64.80827,103,3210.579153
69.660525,80,3215.833759
66.327402,101,3221.950301
71.058098,78,3227.01712
65.703332,90,3232.398741
67.381678,79,3237.921894
65.522788,94,3243.735981
66.594904,98,3250.131862
64.288524,92,3256.081669
66.250278,89,3261.648424
58.296776,122,3269.067611
62.361189,104,3275.566945
