lap,t,lap_time,collisions
1,14.51,17.600,0
2,24.16,9.573,0
3,33.80,9.627,0
4,43.45,9.617,0
5,53.02,9.607,0
6,62.52,9.541,0
7,72.12,9.576,0
8,81.70,9.580,0
9,91.17,9.496,0
10,100.89,9.617,0
11,110.36,9.540,0
12,120.05,9.670,0
13,129.58,9.557,0
14,139.16,9.635,0
15,148.80,9.624,0
16,158.37,9.547,0
17,167.90,9.546,0
18,177.57,9.604,0
19,187.07,9.566,0
20,196.81,9.681,0
21,206.43,9.567,0
end,206.58,,0
